sen_str,swapped_sen_str,leaf_rule
"Se ancheu no ô veddeivo , aveivo za pensou d' anâ lo à çercâ .","Se ancheu no veddeivo ô , aveivo za pensou d' anâ lo à çercâ .",[0] -> [1] -> [5]
Mi ô sò chi t' ê : o santo de o Segnô » .,Mi sò ô chi t' ê : o santo de o Segnô » .,[0] -> [1] -> [5]
Gh' é fiña de quelli che â cantan d' in pê e co a man in sce o cheu .,Gh' é fiña de quelli che cantan â d' in pê e co a man in sce o cheu .,[0] -> [1] -> [5]
"Lê o s' é misso à ammonî lo , e intanto che ô mandava via à a lesta o gh' à dito : « Ammia ben de no dî ninte à nisciun , ançi vanni à fâ te vedde da o saçerdöte e danni pe a tò purificaçion quello ch' o l' à prescrito Mosè , comme testimoniansa pe i atri » .","Lê o s' é misso à ammonî lo , e intanto che mandava ô via à a lesta o gh' à dito : « Ammia ben de no dî ninte à nisciun , ançi vanni à fâ te vedde da o saçerdöte e danni pe a tò purificaçion quello ch' o l' à prescrito Mosè , comme testimoniansa pe i atri » .",[0] -> [1] -> [5]
"E quello sprito sosso ô straggiava e o criava fòrte , ma o l' é sciortio da lê .","E quello sprito sosso straggiava ô e o criava fòrte , ma o l' é sciortio da lê .",[0] -> [1] -> [5]
Sciâ me ô dian voscià quand' ò da intrâ .,Sciâ me dian ô voscià quand' ò da intrâ .,[0] -> [1] -> [5]
"Pe o ciù no gh' ea d' aberghi ò de penscioin , e de o resto , chi se ê poeiva permette ?","Pe o ciù no gh' ea d' aberghi ò de penscioin , e de o resto , chi se poeiva permette ê ?",[0] -> [1] -> [5]
"A domanda , aloa , se l' aviemo fæta inte tanti : ma Zena a no ghe l' aiva un ' inno ' ch' o â representesse in gio ?","A domanda , aloa , se l' aviemo fæta inte tanti : ma Zena a no ghe l' aiva un ' inno ' ch' o representesse â in gio ?",[0] -> [1] -> [5]
No te ô daggo pe a raxon che no veuggio che ti ô perdi .,No te daggo ô pe a raxon che no veuggio che ti ô perdi .,[0] -> [1] -> [5]
Se ti te â piggi con chi o l' é ciù piccin ti fæ mâ .,Se ti te piggi â con chi o l' é ciù piccin ti fæ mâ .,[0] -> [1] -> [5]
"E tòsto o Sprito ô fa andâ inte o deserto , e inte o deserto o gh' arresta quaranta giorni , con Satan che ô tentava ; o stava in mezo à e bestie sarvæghe e i angei ô servivan .","E tòsto o Sprito ô fa andâ inte o deserto , e inte o deserto o gh' arresta quaranta giorni , con Satan che tentava ô ; o stava in mezo à e bestie sarvæghe e i angei ô servivan .",[0] -> [1] -> [5]
Ti ghe ô doviæ fâ savei .,Ti ghe doviæ fâ ô savei .,[0] -> [1] -> [5]
"E tòsto o Sprito ô fa andâ inte o deserto , e inte o deserto o gh' arresta quaranta giorni , con Satan che ô tentava ; o stava in mezo à e bestie sarvæghe e i angei ô servivan .","E tòsto o Sprito fa ô andâ inte o deserto , e inte o deserto o gh' arresta quaranta giorni , con Satan che ô tentava ; o stava in mezo à e bestie sarvæghe e i angei ô servivan .",[0] -> [1] -> [5]
O î ciamma .,O ciamma î .,[0] -> [1] -> [5]
"Lê o ghe va arente , o â piggia pe a man e o â tïa sciù ; a freve a gh' é passâ e a s' é missa à servî li .","Lê o ghe va arente , o â piggia pe a man e o tïa â sciù ; a freve a gh' é passâ e a s' é missa à servî li .",[0] -> [1] -> [5]
"E t' æ , inte quelli giorni Gexù o vëgne da Nazareth de Galilea , e Zane ô battezza inte o Zordan .","E t' æ , inte quelli giorni Gexù o vëgne da Nazareth de Galilea , e Zane battezza ô inte o Zordan .",[0] -> [1] -> [5]
"E tòsto o Sprito ô fa andâ inte o deserto , e inte o deserto o gh' arresta quaranta giorni , con Satan che ô tentava ; o stava in mezo à e bestie sarvæghe e i angei ô servivan .","E tòsto o Sprito ô fa andâ inte o deserto , e inte o deserto o gh' arresta quaranta giorni , con Satan che ô tentava ; o stava in mezo à e bestie sarvæghe e i angei servivan ô .",[0] -> [1] -> [5]
"À mi , à o manco , no m' ô pâ .","À mi , à o manco , no m' pâ ô .",[0] -> [1] -> [5]
"L' é vegnuo da lê un leproso : ô pregava in zenoggion e o ghe diva : « Se ti veu , ti ti me peu fâ stâ ben ! » .","L' é vegnuo da lê un leproso : pregava ô in zenoggion e o ghe diva : « Se ti veu , ti ti me peu fâ stâ ben ! » .",[0] -> [1] -> [5]
Unna dötriña neuva e o â mostra con autoritæ .,Unna dötriña neuva e o mostra â con autoritæ .,[0] -> [1] -> [5]
