sen_str,swapped_sen_str,leaf_rule
"As nu de veerde dår hendaal kumt , sou is dår allens in uproor ; dår sadelet de ryder eare pearde , as wullen see uutryden , de anderen maket eare geweare un sabels torecht un see loupen alle döärchenander : do wür de soldåt angst un leyt sik van syne kameråden wedder heruptrekken .","As nu de veerde dår hendaal kumt , sou is dår allens in uproor ; dår sadelet de ryder eare pearde , as wullen see uutryden , de anderen eare geweare un sabels maket torecht un see loupen alle döärchenander : do wür de soldåt angst un leyt sik van syne kameråden wedder heruptrekken .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [15] -> [16]
"As nu de veerde dår hendaal kumt , sou is dår allens in uproor ; dår sadelet de ryder eare pearde , as wullen see uutryden , de anderen maket eare geweare un sabels torecht un see loupen alle döärchenander : do wür de soldåt angst un leyt sik van syne kameråden wedder heruptrekken .","As nu de veerde dår hendaal kumt , sou is dår allens in uproor ; dår sadelet de ryder eare pearde , as wullen see uutryden , de anderen maket eare geweare un sabels torecht un see loupen alle döärchenander : do wür de soldåt angst un sik leyt van syne kameråden wedder heruptrekken .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [15] -> [16]
"Do wardt mynem möller Pölz angst un hee skrygt : „ Na , sü ju hyr lüde , avers sü ju mörders , låt doch nich den man terspökke . ”","Do wardt mynem möller Pölz angst un hee skrygt : „ Na , sü ju hyr lüde , avers mörders sü ju , låt doch nich den man terspökke . ”",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [15] -> [16]
"Marigge gung avers in de kameren un hale eynen korv mid viksebounen , dee nauw in den skouten saeten un sea to Jüsken : ‘ Hyr hest du ouk wat to doon , de döppe , dan bruukst du nich immer Wiesken an to glupen !","Marigge gung avers in de kameren un hale eynen korv mid viksebounen , dee nauw in den skouten saeten un sea to Jüsken : ‘ Hyr hest du ouk wat to doon , de döppe , dan Wiesken bruukst du nich immer an to glupen !",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [15] -> [16]
"»» Na , dän reisen See mid God , «« sead de olde , »» wen nich to råden is , den is nich to helpen , «« un rats draide de olde sik üm un vaat tanten Line under den arm un gung mid ear den Markusplats dale .","»» Na , dän reisen See mid God , «« sead de olde , »» wen nich to råden is , den is nich to helpen , «« un rats draide de olde sik üm un vaat tanten Line under den arm un den Markusplats dale gung mid ear .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [15] -> [16]
"Dårüm , Miekeleev ! stel dissen springer üüt uw sin en hold u laeg by de grund , dan val y neet houg .","Dårüm , Miekeleev ! stel dissen springer üüt uw sin en u hold laeg by de grund , dan val y neet houg .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [15] -> [16]
"Süg , dår koamet dree jungs an up klumpen , man eyne hevt twey steavels up de nakke hangen .","Süg , dår koamet dree jungs an up klumpen , man eyne twey steavels hevt up de nakke hangen .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [15] -> [16]
"Eyn lämken beyt ik te doude , lekkede dat blood , et smakkede my köstlik ! un mordede wyder veer der jüngsten siagen un åt see un öövde mik veerner ; spaarde keyne vüägel , noch honer , noch enden , noch göse , woor ik see vung , un hevve wal manniget in dem sande vorgraven , wat ik do slachted un wat my neet alles te eaten beleevde .","Eyn lämken beyt ik te doude , dat blood lekkede , et smakkede my köstlik ! un mordede wyder veer der jüngsten siagen un åt see un öövde mik veerner ; spaarde keyne vüägel , noch honer , noch enden , noch göse , woor ik see vung , un hevve wal manniget in dem sande vorgraven , wat ik do slachted un wat my neet alles te eaten beleevde .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [15] -> [16]
Achter dem hagen rechts lag dem nåver syn brook un heeld den gården warm .,Achter dem hagen rechts lag dem nåver syn brook un den gården heeld warm .,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [15] -> [16]
"In dem stoavke neaveby hukkede de vaders un mudders tohoupe un vortelde sik van peard un wage , van dem spinne un warke .","In dem stoavke neaveby hukkede de vaders un mudders tohoupe un sik vortelde van peard un wage , van dem spinne un warke .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [15] -> [16]
"Syn gesicht weer dårby as in steyn uuthauwd ; blout as de justityråd ümmer naeger nåvråg un andüden dea , dat hee meyr wüs , sprung syn ouge nå Detelt Rolff röäver un skuul em an , dat man bange warden kun .","Syn gesicht weer dårby as in steyn uuthauwd ; blout as de justityråd ümmer naeger nåvråg un andüden dea , dat hee meyr wüs , sprung syn ouge nå Detelt Rolff röäver un em skuul an , dat man bange warden kun .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [15] -> [16]
"David sagde : » Bliv noch eynen dag hyr ; morgenemorgen , do låte ik dik gån . «","David sagde : » Bliv noch eynen dag hyr ; morgenemorgen , do dik låte ik gån . «",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [15] -> [16]
Sou now en dan sågen see em en ouk financieel heelp hee see voorde .,Sou now en dan sågen see em en ouk financieel see heelp hee voorde .,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [15] -> [16]
