sen_str,swapped_sen_str,leaf_rule
"भाऊ राजपुत्रा कडे येऊन म्हणाला , राजाला अंगणा तील मोत्यां पैकी राणी च्या नथी चे मोती निवडून घ्यायला सांग .","भाऊ राजपुत्रा कडे येऊन म्हणाला , राजाला निवडून अंगणा तील मोत्यां पैकी राणी च्या नथी चे मोती घ्यायला सांग .",[0] -> [2] -> [3]
त्याला भूक लागली .,त्याला लागली भूक .,[0] -> [2] -> [3]
केशवचंद्राने वशिला लावून राजा आपल च्या गावी येईल असे केले .,केशवचंद्राने लावून वशिला राजा आपल च्या गावी येईल असे केले .,[0] -> [2] -> [3]
केशवचंद्राने म्हातारे शेतकरी पैशाने विकत घेऊन साक्षीदार म्हणून आणले होते .,केशवचंद्राने म्हातारे शेतकरी पैशाने विकत घेऊन म्हणून साक्षीदार आणले होते .,[0] -> [2] -> [3]
""" आईला म्हणाला , ' हजार रुपये घ्या व शेत द्या ! ' आणि मला म्हणाला , ' तुझ च्या बापाला काही कळत नाही . '",""" आईला म्हणाला , ' हजार रुपये घ्या व शेत द्या ! ' आणि मला म्हणाला , ' तुझ च्या बापाला कळत काही नाही . '",[0] -> [2] -> [3]
"पुन्हा बहीण बनून राजपुत्रा जवळ ती फुले देऊन ती म्हणाली , जा , राजाला ही नेऊन दे !","पुन्हा बनून बहीण राजपुत्रा जवळ ती फुले देऊन ती म्हणाली , जा , राजाला ही नेऊन दे !",[0] -> [2] -> [3]
"आई चा आशीर्वाद घेऊन , ते लाडू घेऊन , धनुष्यबाण आणि तलवार घेऊन तो निघाला .","आई चा आशीर्वाद घेऊन , ते घेऊन लाडू , धनुष्यबाण आणि तलवार घेऊन तो निघाला .",[0] -> [2] -> [3]
""" आपण चोर ठरलो नि चोर मालक ठरला . """,""" आपण चोर ठरलो नि चोर ठरला मालक . """,[0] -> [2] -> [3]
"तो म्हणाला , मी येथल्या राजा ची करमणूक करणारा .","तो म्हणाला , मी करणारा येथल्या राजा ची करमणूक .",[0] -> [2] -> [3]
"पाठवा त्याला , राजपुत्र म्हणाला .","पाठवा राजपुत्र म्हणाला त्याला , .",[0] -> [2] -> [3]
"डराव , डराव करून त्याने बेडकांना हाका मारल्या .","डराव , डराव करून त्याने हाका मारल्या बेडकांना .",[0] -> [2] -> [3]
