sen_str,swapped_sen_str,leaf_rule
# sey na wetin be sey [ dey cause di poor economic matter # for tourism sector # for Nigeria unlike # other countries ] //,# sey na wetin be sey [ dey di poor economic matter cause # for tourism sector # for Nigeria unlike # other countries ] //,[0]
# di next morning < as di man wake up < # con see himsef for # anoder place //,# di next morning < as di man wake up < # con himsef see for # anoder place //,[0]
how dem dey call di phone ?//,how dem dey di phone call ?//,[0]
di first born con sing # [ if na me >+ eat dis food < # if na me >+ eat dis food < # Kpangolo must to swallow me //= # fish must to swallow me //] //,di first born con sing # [ if na me >+ eat dis food < # if na me >+ eat dis food < # Kpangolo must to me swallow //= # fish must to swallow me //] //,[0]
# you fit withdraw am through # ehm # cryptocurrency //= you fit withdraw through OK Pay //= you fit withdraw am through # eh your direct domiciliary account //,# you fit withdraw am through # ehm # cryptocurrency //= you fit withdraw through OK Pay //= you fit am withdraw through # eh your direct domiciliary account //,[0]
# toh < # we no love one anoder //,# toh < # we no one anoder love //,[0]
# I con say [ toh my uncle < dis year again o < I no go write WAEC again ?//] //,# I con say [ toh my uncle < dis year again o < I no go WAEC write again ?//] //,[0]
# but I still like am # cause I don # perfect on it //,# but I still am like # cause I don # perfect on it //,[0]
# face me say [ na me >+ you wan kill ?//= instead of you to kill me < na me >+ go kill you first for dis town //] //,# face me say [ na me >+ you wan kill ?//= instead of you to kill me < na me >+ go you kill first for dis town //] //,[0]
# now you see dis one < if I want go sell am now < I go get like # { seven thousand |c # or eight thousand } //,# now you dis one see < if I want go sell am now < I go get like # { seven thousand |c # or eight thousand } //,[0]
na where de dey send me go go pack tools < # di place too far //,na where de dey send me go go tools pack < # di place too far //,[0]
as soon as all dose Shell and NNPC start to enter Nigeria < all dose people carry deir machine put inside packing room |c # carry deir firewood put di oda side |c go find white collar job //,as soon as all dose Shell and NNPC start to enter Nigeria < all dose people carry deir machine put inside packing room |c # carry deir firewood di oda side put |c go find white collar job //,[0]
{ turn am |r turn am |r turn am } //,{ turn am |r turn am |r am turn } //,[0]
# stop surfing di Internet !//,# stop di Internet surfing !//,[0]
# so if de fit make dis eh # leave meh e dey enter six months < for dey good because # even dat time < God con help me sha //,# so if de fit make dis eh # leave meh e dey six months enter < for dey good because # even dat time < God con help me sha //,[0]
because den < I no even know wetin de dey call # car AC sef //,because den < I no even know wetin de dey # car AC sef call //,[0]
# e con catch # one //= # e say [ mey # e give me ] //,# e con # one catch //= # e say [ mey # e give me ] //,[0]
# e say [ di National Assembly < dem gats { to rearrange di law o wey go allow communities make dem fit dey generate energy |c and to allow people make dem dey use deir brain |c and to even involve people wey be sey dem be private business } //] //,# e say [ di National Assembly < dem gats { to rearrange di law o wey go allow communities make dem fit dey energy generate |c and to allow people make dem dey use deir brain |c and to even involve people wey be sey dem be private business } //] //,[0]
sometimes < di very first day wey I taste igbo < # dere na Ben >+ even tell me sey [ na igbo < na fish >+ de call am ] //,sometimes < di very first day wey I igbo taste < # dere na Ben >+ even tell me sey [ na igbo < na fish >+ de call am ] //,[0]
# we go see people like Messi //= # you go see people like # Neymar //= # we dey see boys like eh # wheder na { Juan Mata |c # or Lukaku } //,# we go people like Messi see //= # you go see people like # Neymar //= # we dey see boys like eh # wheder na { Juan Mata |c # or Lukaku } //,[0]
Plateau na place wey # ah different languages dey |c people dey speak am //,Plateau na place wey # ah different languages dey |c people dey am speak //,[0]
# but # eh # di woman < # e no go pass { four thousand |c three five } //,# but # eh # di woman < # e no go { four thousand |c three five } pass //,[0]
# de dey dere dey chop money like //,# de dey dere dey money like chop //,[0]
# if you open your door < you go see di side of di door //,# if you your door open < you go see di side of di door //,[0]
# man sef < if de say [ dem want put man ] < na one over ten //,# man sef < if de say [ dem want man put ] < na one over ten //,[0]
# pregnant woman dey hear am chai !//,# pregnant woman dey am hear chai !//,[0]
# I con jam one guy now //,# I con one guy now jam //,[0]
# tell am your sin //= make I tell am my sin //,# your sin tell am //= make I tell am my sin //,[0]
# ehn di way Nigeria be now < # nobody know where im go put head //,# ehn di way Nigeria be now < # nobody know where im go head put //,[0]
# oh I no get work again //= I no fit dey pay //,# oh I no work get again //= I no fit dey pay //,[0]
# for dat time now wey we dey waka for di street for Lagos < if we dey come back < # we dey speak grammar //,# for dat time now wey we dey waka for di street for Lagos < if we dey come back < # we dey grammar speak //,[0]
# as I tell you di name < you go run go google am //= you no go see any information //,# as I di name tell you < you go run go google am //= you no go see any information //,[0]
# meanwhile < we don hear sey [ di eighty two rescued Chibok girls now o ( yes you don hear //) < sey de don do better //= sey don discuss |c # and de don meet with the { Chief of Staff to we Presido |a Oga Abaki Harry } ] //,# meanwhile < we don hear sey [ di eighty two rescued Chibok girls now o ( yes you don hear //) < sey de don better do //= sey don discuss |c # and de don meet with the { Chief of Staff to we Presido |a Oga Abaki Harry } ] //,[0]
sey di things < some of dem < de no get any of dem //,sey di things < some of dem < de no any of dem get //,[0]
