sen_str,swapped_sen_str,leaf_rule
"Usika ramé paá yumimisawa rupí , usú usikari Adana , uwasemu aé yepé uka upé anhuíra .","Usika ramé paá yumimisawa rupí , usú usikari Adana , aé uwasemu yepé uka upé anhuíra .",[0] -> [1] -> [2] -> [6]
"Yepé ara , paá , i manha unheẽ i xupé arã : Se mbira , resú retimiári nhaã ipawa repisika arã nhaã urubú kunhã waá ne rimirikú arã .","Yepé ara , paá , i manha unheẽ i xupé arã : Se mbira , resú nhaã ipawa retimiári repisika arã nhaã urubú kunhã waá ne rimirikú arã .",[0] -> [1] -> [2] -> [6]
"Mayé yané rikusawa-itá umundú tuixawa rayera umendari kirimbawa piri waá irumu , kuíri ixé nhaã kurumiwasú putawa .","Mayé yané rikusawa-itá tuixawa rayera umundú umendari kirimbawa piri waá irumu , kuíri ixé nhaã kurumiwasú putawa .",[0] -> [1] -> [2] -> [6]
"Aintá usika , paá , pitera upé aintá umaã , paá , isima mirĩ , mamé , paá , muíri ara Wakurawá usú wera ukiri .","Aintá usika , paá , pitera upé aintá isima mirĩ , mamé , paá , muíri ara Wakurawá usú wera ukiri umaã , paá , .",[0] -> [1] -> [2] -> [6]
"Asuí Jesus upisika aé i pú irumu , asuí umukaturu aé , asuí uxari usú .","Asuí Jesus upisika aé i pú irumu , asuí aé umukaturu , asuí uxari usú .",[0] -> [1] -> [2] -> [6]
"Aikwé ana uri , kuíri ayumú aé se tĩ irumu .","Aikwé ana uri , kuíri aé ayumú se tĩ irumu .",[0] -> [1] -> [2] -> [6]
Yautí unheẽ : ― Yasú yayuuka i kãwera .,Yautí unheẽ : ― Yasú i kãwera yayuuka .,[0] -> [1] -> [2] -> [6]
"Miasúa usú ana , usendú teapú tukumã raínha pupé : tẽ , tẽ , tẽ ; tẽ , tẽ , tẽ .","Miasúa usú ana , teapú usendú tukumã raínha pupé : tẽ , tẽ , tẽ ; tẽ , tẽ , tẽ .",[0] -> [1] -> [2] -> [6]
"Te pesikari kirimbawa pembaú arama peú arama yuíri , te peyuka pe piá aintá resé .","Te pesikari kirimbawa pembaú arama peú arama yuíri , te pe piá peyuka aintá resé .",[0] -> [1] -> [2] -> [6]
"Yawé anheẽ , amutiĩ kurí penhẽ .","Yawé anheẽ , penhẽ amutiĩ kurí .",[0] -> [1] -> [2] -> [6]
Akwáu katú kurí puxí usuantí ixé .,Akwáu katú kurí puxí ixé usuantí .,[0] -> [1] -> [2] -> [6]
"Ape kwá kurumĩ mirĩ upisika nhaã apigawa , ape uyapí aé iwí ruaxara .","Ape kwá kurumĩ mirĩ upisika nhaã apigawa , ape aé uyapí iwí ruaxara .",[0] -> [1] -> [2] -> [6]
"Karu paá umaã ramé nhaã mira riiya , umunhã kari maã suikiri waá , piranga waá , pixuna waá , i tawá waá , umusangawa arama nhaã mira ximirikú irumu , upitá arama nhaã mira-itá , uyumunhã mundurukú rama , apiaká rama , mawé rama , arara rama .","Karu paá nhaã mira riiya umaã ramé , umunhã kari maã suikiri waá , piranga waá , pixuna waá , i tawá waá , umusangawa arama nhaã mira ximirikú irumu , upitá arama nhaã mira-itá , uyumunhã mundurukú rama , apiaká rama , mawé rama , arara rama .",[0] -> [1] -> [2] -> [6]
"Pemaã , wirandé asú amukameẽ penhẽ arã iwité , pemunhã arã pe kupixá pe rimirikú-itá irumu .","Pemaã , wirandé asú iwité amukameẽ penhẽ arã , pemunhã arã pe kupixá pe rimirikú-itá irumu .",[0] -> [1] -> [2] -> [6]
