sen_str,swapped_sen_str,leaf_rule
"bókáɲá =m yàá-dòè-mɔ̀ hṵ́ı̰́ ndútùà há̰ =ám bèè,","=m bókáɲá yàá-dòè-mɔ̀ hṵ́ı̰́ ndútùà há̰ =ám bèè,",[0] -> [2]
Wàntò hó dáà ʔɛ́nɛ́ tɛ́-tɔ̰̀ kàá ʔám bá náŋ =ám ʔàm pḭ́ gɔ́n =yó nàà gɔ́n wí géè,Wàntò hó dáà ʔɛ́nɛ́ tɛ́-tɔ̰̀ kàá ʔám bá =ám náŋ ʔàm pḭ́ gɔ́n =yó nàà gɔ́n wí géè,[0] -> [2]
ʔà̰ yák yé kɔ̀zér,ʔà̰ yák kɔ̀zér yé,[0] -> [2]
gbɛ́ɛ́ ʔó dùà dai =à̰ ʔá̰ hɛ̌n hḭ̀ḭ́ ʔèá,gbɛ́ɛ́ ʔó dùà =à̰ dai ʔá̰ hɛ̌n hḭ̀ḭ́ ʔèá,[0] -> [2]
kà =m mɔ́-ɗòŋ táá tí ká =m nɛ́-kpàà ngáyá gèɗà ká =m ɲɔ̀ŋá nɛ̀nɛ́,kà =m mɔ́-ɗòŋ táá tí ká =m ngáyá gèɗà nɛ́-kpàà ká =m ɲɔ̀ŋá nɛ̀nɛ́,[0] -> [2]
ʔá̰-nɛ̀ Wàntò dɔ́r dòè ʔáá tɛ̀ kɔ́ ʔɛ̰̀ dɔ́r dòè ʔáá tɛ̀ kɔ́ ʔɛ̰̀,ʔá̰-nɛ̀ Wàntò dɔ́r dòè ʔáá tɛ̀ kɔ́ ʔɛ̰̀ dɔ́r dòè ʔáá tɛ̀ ʔɛ̰̀ kɔ́,[0] -> [2]
nɛ̀ =ám kpèè síkɔ̀rí,nɛ̀ =ám síkɔ̀rí kpèè,[0] -> [2]
Wàntò zɔ́k nɔ́ dùà nɛ̀ nɔ́í nɔ́í ɲɛ́m-ná ʔá̰-nɛ̀ kùrà nɛ́ ŋmán gbàá-zàwà pḭ́ kɔ̀ nú,Wàntò nɔ́ dùà nɛ̀ nɔ́í nɔ́í ɲɛ́m-ná zɔ́k ʔá̰-nɛ̀ kùrà nɛ́ ŋmán gbàá-zàwà pḭ́ kɔ̀ nú,[0] -> [2]
wà Wàntò dùà hɛ̰̀ ʔéí tɔ̰̀áà ndé ʔéí gbɛ̀ɛ́ dùà há̰ =éí mɔ́-dɛ̀ nɛ̀ mɔ̀ ʔá tɛ̀ =mɛ́ wèn ʔóyó nɛ̀ yá hɛ̰̀ wéwéì bé ngbàrà =yó ná,wà Wàntò dùà hɛ̰̀ ʔéí tɔ̰̀áà ndé ʔéí gbɛ̀ɛ́ dùà há̰ =éí mɔ̀ mɔ́-dɛ̀ nɛ̀ ʔá tɛ̀ =mɛ́ wèn ʔóyó nɛ̀ yá hɛ̰̀ wéwéì bé ngbàrà =yó ná,[0] -> [2]
mɔ́ ndàyá mɔ̀ nɛ̀ =mɛ́ nɛ́ hárá kóò ká hèè mɛ́ nɛ́-nɛ̀á nɛ̀ mɛ̀ yák-tɛ́-ɲɔ̀ŋ ɓélá kútùà kɔ́ =ó fòr =mɛ́ sítí-há̰ =wà ná,mɔ́ ndàyá mɔ̀ nɛ̀ =mɛ́ nɛ́ hárá kóò ká hèè mɛ́ nɛ́-nɛ̀á nɛ̀ mɛ̀ yák-tɛ́-ɲɔ̀ŋ ɓélá kútùà kɔ́ =ó =mɛ́ fòr sítí-há̰ =wà ná,[0] -> [2]
bêm kɔ́ =nɛ́ nɛ̀ yɔ̀ɔ̀ sɔ̰́ ʔá̰-nɛ̀ =éí kpa =à ʔé hɛ̰̀,bêm kɔ́ =nɛ́ nɛ̀ yɔ̀ɔ̀ sɔ̰́ ʔá̰-nɛ̀ =éí =à kpa ʔé hɛ̰̀,[0] -> [2]
kóó ʔɛ́nɛ́ bàà ʔó bêm hɛ̌n ngbàrà béí wà tɛ́-wɛ̀n kàá wɔ̀tɔ̀-wɔ̀tɔ̀,kóó ʔɛ́nɛ́ ʔó bêm bàà hɛ̌n ngbàrà béí wà tɛ́-wɛ̀n kàá wɔ̀tɔ̀-wɔ̀tɔ̀,[0] -> [2]
ʔòóyèé ʔám tɛ́ kɔ́ =ám ʔèá,ʔòóyèé ʔám ʔèá tɛ́ kɔ́ =ám,[0] -> [2]
Wàntòó zɔ̀k mɔ̀ ná ʔó kóò gbòò ʔé nɛ̀ ʔó kóré gèɗà sɛ̀kɛ̀ɛ̀,Wàntòó zɔ̀k mɔ̀ ná ʔó kóò gbòò ʔé nɛ̀ ʔó gèɗà kóré sɛ̀kɛ̀ɛ̀,[0] -> [2]
Wàntò ɲɔ̀ŋá dùà yàà kɔ́ =éí,Wàntò dùà yàà kɔ́ =éí ɲɔ̀ŋá,[0] -> [2]
mɛ́ ɲɔ́ŋ dùà hɛ̰̀ mɛ́ ɲɔ́ŋ dùà mɛ́ ɲɔ́ŋ dùà ná,mɛ́ ɲɔ́ŋ dùà hɛ̰̀ mɛ́ ɲɔ́ŋ dùà mɛ́ dùà ɲɔ́ŋ ná,[0] -> [2]
dùà hɛ̰̀ ʔéí mɔ́-pèì ʔèì dɛ̀ nɛ̀ mɔ̀ɔ́ tɛ̀ =mɛ́ ʔòé,dùà hɛ̰̀ ʔéí mɔ́-pèì ʔèì dɛ̀ nɛ̀ mɔ̀ɔ́ =mɛ́ tɛ̀ ʔòé,[0] -> [2]
ʔèì tɛ́ gɔ́ nɛ̀ bóɲá =à̰ sínɛ́,ʔèì tɛ́ bóɲá =à̰ gɔ́ nɛ̀ sínɛ́,[0] -> [2]
ʔá̰-nɛ̀ =wà pèà ʔá gèɗà nù,ʔá̰-nɛ̀ =wà pèà gèɗà ʔá nù,[0] -> [2]
Wàntò hó dáà ʔɛ́nɛ́ tɛ́-tɔ̰̀ kàá ʔám bá náŋ =ám ʔàm pḭ́ gɔ́n =yó nàà gɔ́n wí géè,Wàntò hó dáà ʔɛ́nɛ́ tɛ́-tɔ̰̀ kàá ʔám náŋ =ám bá ʔàm pḭ́ gɔ́n =yó nàà gɔ́n wí géè,[0] -> [2]
ʔám dɛ́ nɛ̀ nú pàyà kɔ́ =ám-ɛ̰̀,ʔám nú pàyà kɔ́ =ám-ɛ̰̀ dɛ́ nɛ̀,[0] -> [2]
ʔá̰-nɛ̀ Wàntò dɔ́r dòè ʔáá tɛ̀ kɔ́ ʔɛ̰̀ dɔ́r dòè ʔáá tɛ̀ kɔ́ ʔɛ̰̀,ʔá̰-nɛ̀ Wàntò dòè dɔ́r ʔáá tɛ̀ kɔ́ ʔɛ̰̀ dɔ́r dòè ʔáá tɛ̀ kɔ́ ʔɛ̰̀,[0] -> [2]
wàn ndàlàŋ kpèé ndàlàŋ kɔ́ =éí nɛ̀ ɗɔ̀ɔ̀ mɛ̀,ndàlàŋ wàn kpèé ndàlàŋ kɔ́ =éí nɛ̀ ɗɔ̀ɔ̀ mɛ̀,[0] -> [2]
ʔòyò dɛ́ nɛ̀ mɔ̀ ʔá tɛ̀ =mɛ́ kà =mɛ́ dúk ngbàrà =yó,ʔòyò dɛ́ nɛ̀ mɔ̀ ʔá =mɛ́ tɛ̀ kà =mɛ́ dúk ngbàrà =yó,[0] -> [2]
ʔà̰ dáŋ zân péí,ʔà̰ zân dáŋ péí,[0] -> [2]
ʔàm ɗáfí nɛ́ nú pàyà kɔ́ =ám há̰ =ám ɲɔ́ŋ nɛ̀nɛ́,ʔàm nú pàyà kɔ́ =ám ɗáfí nɛ́ há̰ =ám ɲɔ́ŋ nɛ̀nɛ́,[0] -> [2]
ʔá̰-nɛ̀ =à̰ kṵ́ náŋ gáyá yì gáyá yì gáyá yì,ʔá̰-nɛ̀ =à̰ kṵ́ náŋ yì gáyá gáyá yì gáyá yì,[0] -> [2]
ʔà̰ nɛ́ gáí mbéà,ʔà̰ nɛ́ mbéà gáí,[0] -> [2]
nɛ̀ =ám kpèè síkɔ̀rí,nɛ̀ =ám síkɔ̀rí kpèè,[0] -> [2]
