sen_str,swapped_sen_str,leaf_rule
"Per çò que totòm deu saupre , es almens mon vejaire , que la primalba dins la plana val lo picar de lo jorn a la montanha o l' enauçada de lo solelh sus las èrsas d' una mar d' òli .","Per çò que totòm deu saupre , es almens mon vejaire , que la primalba dins la plana lo picar de lo jorn a la montanha o l' enauçada de lo solelh sus las èrsas d' una mar d' òli . val",[0] -> [1] -> [2] -> [4]
"Pasmens , estudièt pas lo latin d' un biais prigond e lo fach que aguèsse una ortografia caotica nos indica qu' aquesta instruccion aviá de lacunas e , de tot biais , èra pas la d' un universitari .","Pasmens , lo latin estudièt pas d' un biais prigond e lo fach que aguèsse una ortografia caotica nos indica qu' aquesta instruccion aviá de lacunas e , de tot biais , èra pas la d' un universitari .",[0] -> [1] -> [2] -> [4]
"L' òme daishèt anar lo Gròs Peis , que l' ensenhèt un endret ont prenguèt de peis tan que volguèt .","L' òme daishèt lo Gròs Peis , que l' ensenhèt un endret ont prenguèt de peis tan que volguèt . anar",[0] -> [1] -> [2] -> [4]
"La Vila Diu de lo Temple que vad lo brèç d' ua idèa creada en 1974 e qui mercés a la dinamica de Nadal Rey , hasó lo torn de lo monde .","La Vila Diu de lo Temple que vad lo brèç d' ua idèa creada en 1974 e qui mercés a la dinamica de Nadal Rey , lo torn de lo monde . hasó",[0] -> [1] -> [2] -> [4]
"La femna se regassava , reteniá l' alen .","La femna se regassava , l' alen . reteniá",[0] -> [1] -> [2] -> [4]
Prenguèt vam per la getar .,vam Prenguèt per la getar .,[0] -> [1] -> [2] -> [4]
"Prumèr , estoc l' aranesa Alidé Sans que joguèc 6 o 7 cançons davant un public estrambordat .","Prumèr , estoc l' aranesa Alidé Sans que 6 o 7 cançons joguèc davant un public estrambordat .",[0] -> [1] -> [2] -> [4]
"De per la Lei de la Sèlva , a pas lo drech de cambiar sas batudas sens n' assabentar las gents de lo biais que cal .","De per la Lei de la Sèlva , lo drech de cambiar sas batudas sens n' assabentar las gents de lo biais que cal . a pas",[0] -> [1] -> [2] -> [4]
"E puòi , ta joina femna seriá contenta d' avere un òme industriós ; fariás ben concurréncia a monsur Martin .","E puòi , ta joina femna seriá contenta d' un òme industriós ; avere fariás ben concurréncia a monsur Martin .",[0] -> [1] -> [2] -> [4]
Que podè aver de vint e cinc a trenta ans .,Que podè de vint e cinc a trenta ans . aver,[0] -> [1] -> [2] -> [4]
"Veguí ton rison urós quand chaupires lo mentastre espés de l' alèia , quand lo vielh engard te bufet en plena chara son odor fina entre totas de terradís e de boesc sec .","Veguí ton rison urós quand chaupires lo mentastre espés de l' alèia , quand lo vielh engard te son odor fina entre totas de terradís e de boesc sec . bufet en plena chara",[0] -> [1] -> [2] -> [4]
"Sus la taula , lusissiá lo fust de la balèstra , jos los primièrs rais de solelh , que la pluèja s' èra arrestada coma s' èran arrestadas las lagremas de tant coma aviá plorat .","Sus la taula , lusissiá lo fust de la balèstra , jos los primièrs rais de solelh , que la pluèja s' èra arrestada coma s' èran las lagremas arrestadas de tant coma aviá plorat .",[0] -> [1] -> [2] -> [4]
"Conscient que los ainats demorats a lo país èran los guardians d' un concèpte de civilizacion de qui calèva preservar e transméter , Nadal Rey que decidí de har partejar aquera presa de consciéncia e de desvolopar la dignitat païsana tant escornada per la vergonha e lo mesprètz infligits insidiosament , mes dab fòrça pendent decennis .","Conscient que los ainats demorats a lo país èran los guardians d' un concèpte de civilizacion de qui calèva preservar e transméter , Nadal Rey que decidí de har aquera presa de consciéncia partejar e de desvolopar la dignitat païsana tant escornada per la vergonha e lo mesprètz infligits insidiosament , mes dab fòrça pendent decennis .",[0] -> [1] -> [2] -> [4]
"Aprèp un an passat a netejat los pincèls e far d' autres trabalhs d' aprendís , Leonardo foguèt iniciat per Verrocchio a las tecnicas que se practicavan dins un talhièr tradicional .","Aprèp un an passat a netejat los pincèls e d' autres trabalhs d' aprendís , far Leonardo foguèt iniciat per Verrocchio a las tecnicas que se practicavan dins un talhièr tradicional .",[0] -> [1] -> [2] -> [4]
Vòli tiar la Granda Bèstia a sèt caps e vos esposar anèit .,Vòli la Granda Bèstia a sèt caps tiar e vos esposar anèit .,[0] -> [1] -> [2] -> [4]
"Sa femna sonèt los vesins , los amics de son òme .","Sa femna los vesins , los amics de son òme . sonèt",[0] -> [1] -> [2] -> [4]
"Entau , auriá pogut trobar sa copabla tres o quatre mes mai dabora sens l' ajuda de l' autre trasfòu .","Entau , auriá pogut sa copabla trobar tres o quatre mes mai dabora sens l' ajuda de l' autre trasfòu .",[0] -> [1] -> [2] -> [4]
Manjan d' insèctes coma la coardèla .,d' insèctes Manjan coma la coardèla .,[0] -> [1] -> [2] -> [4]
"En virent lo canton , vegèt una fòrta e granda bòria , onte i aviá fòrça buòus e vacas .","En virent lo canton , vegèt una fòrta e granda bòria , onte i fòrça buòus e vacas . aviá",[0] -> [1] -> [2] -> [4]
T' ai pas estalviat potons e braçadas .,T' ai pas potons e braçadas . estalviat,[0] -> [1] -> [2] -> [4]
E aquò alarga bravament lo nombre potencial de los ciutadans que pòdon utilisar los carreges en comun .,E aquò alarga bravament lo nombre potencial de los ciutadans que pòdon los carreges en comun . utilisar,[0] -> [1] -> [2] -> [4]
"de lo terme onte io aviá pres posicion , vesiá la baissa enquera dins las brumas leugieras de queu matin de setembre .","de lo terme onte io aviá pres posicion , la baissa vesiá enquera dins las brumas leugieras de queu matin de setembre .",[0] -> [1] -> [2] -> [4]
"Levèt los uèlhs capmont , mas dins lo nègre de la nuèch e de la pluèja , la capèla se podiá pas véser .","los uèlhs Levèt capmont , mas dins lo nègre de la nuèch e de la pluèja , la capèla se podiá pas véser .",[0] -> [1] -> [2] -> [4]
"Tè , que li as una blòda tota nòva !","Tè , que li una blòda tota nòva ! as",[0] -> [1] -> [2] -> [4]
Met en scèna la destinada sovent tragica de la civilizacion occitana e de los òmes en i mesclant la sia .,la destinada sovent tragica de la civilizacion occitana e de los òmes en i mesclant la sia . Met en scèna,[0] -> [1] -> [2] -> [4]
Mas aquesta fa pas que tres o quatre quilomètres e s' aluènha gaire de los Boisses e de lo vilatge .,Mas aquesta tres o quatre quilomètres fa pas que e s' aluènha gaire de los Boisses e de lo vilatge .,[0] -> [1] -> [2] -> [4]
"La basa experimentala e sas aisinas d' interrogacion permetràn a cada cercaire de causir son còrpus de trabalh en combinant de critèris coma lo nom de l' autor , lo títol de l' òbra , la temporada , la data , lo genre textual , lo dialècte de l' occitan , la nòrma grafica .","La basa experimentala e sas aisinas d' interrogacion permetràn a cada cercaire de causir son còrpus de trabalh en de critèris coma lo nom de l' autor , lo títol de l' òbra , la temporada , la data , lo genre textual , lo dialècte de l' occitan , la nòrma grafica . combinant",[0] -> [1] -> [2] -> [4]
"- I a pas res a faire , te bailarai un uòu prèste a espelir : en arribant à ton ostau , lo polin espelirà ; mas te cau faire atencion de pas lo tombar en camin , perqué se copariá e lo polin partiriá .","- I a pas res a faire , te un uòu prèste a espelir : bailarai en arribant à ton ostau , lo polin espelirà ; mas te cau faire atencion de pas lo tombar en camin , perqué se copariá e lo polin partiriá .",[0] -> [1] -> [2] -> [4]
"Las sòrres de lo convent la cresián perduda : anava a lo cementèri dos o tres còps per setmana , mas mancava la messa lo dimenge .","Las sòrres de lo convent la cresián perduda : anava a lo cementèri dos o tres còps per setmana , mas la messa mancava lo dimenge .",[0] -> [1] -> [2] -> [4]
"Sus aquestas , se pòdon trobar las fondamentas de mantunas abitacions , d' escalièrs per tal de passar entre , terrassas , una cistèrna e un silò .","Sus aquestas , se pòdon las fondamentas de mantunas abitacions , d' escalièrs per tal de passar entre , terrassas , una cistèrna e un silò . trobar",[0] -> [1] -> [2] -> [4]
Paire Lop bandèt los ausidors .,Paire Lop los ausidors . bandèt,[0] -> [1] -> [2] -> [4]
"Los occitans e los italians , que fan a lo tambornet dempuèi mai d' un sègle , dominan la disciplina que se practica ara en Àustria , Ongria , Espanha , Irlanda , Norvègia , Brasil e Japon .","Los occitans e los italians , que fan a lo tambornet dempuèi mai d' un sègle , la disciplina que se practica ara en Àustria , Ongria , Espanha , Irlanda , Norvègia , Brasil e Japon . dominan",[0] -> [1] -> [2] -> [4]
Joan se sentissiá pas lo besonh de ne sortir .,Joan se lo besonh de ne sortir . sentissiá pas,[0] -> [1] -> [2] -> [4]
"L' òme daishèt anar lo Gròs Peis , que l' ensenhèt un endret ont prenguèt de peis tan que volguèt .","L' òme daishèt anar lo Gròs Peis , que l' ensenhèt un endret ont de peis que volguèt . prenguèt tan",[0] -> [1] -> [2] -> [4]
"Furgaràn la Sèlva per lo cercar ... el serà luènh , mas nosautres e nòstres pichons , nos caldrà córrer , quand botaràn fuòc a la bauca .","la Sèlva Furgaràn per lo cercar ... el serà luènh , mas nosautres e nòstres pichons , nos caldrà córrer , quand botaràn fuòc a la bauca .",[0] -> [1] -> [2] -> [4]
"Anàvem acabar de vendre , e sacàvem lo cap a l' espital .","Anàvem acabar de vendre , e lo cap sacàvem a l' espital .",[0] -> [1] -> [2] -> [4]
- Ne vòs pas totun crompar lo tractur ?,- Ne vòs pas totun lo tractur ? crompar,[0] -> [1] -> [2] -> [4]
"a lo temps volgut , la canha fasquèt dus canhòts , la cabala dus polins e la femna dus bessons .","a lo temps volgut , la canha dus canhòts , fasquèt la cabala dus polins e la femna dus bessons .",[0] -> [1] -> [2] -> [4]
"Vesiá desjà lo Riublandon s' esmalir que li avián chaupit la scena de lo murtre , chaulhat totas las piadas , enfoirat lo chantier , escampilhat los indicis .","Vesiá desjà lo Riublandon s' esmalir que li avián chaupit la scena de lo murtre , totas las piadas , chaulhat enfoirat lo chantier , escampilhat los indicis .",[0] -> [1] -> [2] -> [4]
"Dintrava , disiá : Veni de far un torn .","Dintrava , disiá : Veni de un torn . far",[0] -> [1] -> [2] -> [4]
"D' en primièr , Auròra s' agenolhèt a lo ran de la tomba de Gèli , se signèt , diguèt un Pater e un Ave , entamenèt lo planh long e dolorós , suscitat e entretengut per son amor de maire assucada per lo malur .","D' en primièr , Auròra s' agenolhèt a lo ran de la tomba de Gèli , se signèt , un Pater e un Ave , diguèt entamenèt lo planh long e dolorós , suscitat e entretengut per son amor de maire assucada per lo malur .",[0] -> [1] -> [2] -> [4]
"Ganha ta civada , mon bon chival !","ta civada , Ganha mon bon chival !",[0] -> [1] -> [2] -> [4]
"Ai laissat tombar l' uòu de cavala , s' es crebat e un polin ben bèu s' es escapat .","Ai laissat l' uòu de cavala , tombar s' es crebat e un polin ben bèu s' es escapat .",[0] -> [1] -> [2] -> [4]
Monsen Latorre aviá un biais aristocratic per téner la greda e èra lo sol a faire la letra « d » amb una corba doça en arrièr .,Monsen Latorre aviá un biais aristocratic per la greda téner e èra lo sol a faire la letra « d » amb una corba doça en arrièr .,[0] -> [1] -> [2] -> [4]
"Lo se vira , lo se revira d' aquí que , d' un còp , lo metòde li venga per resòlvre la question ont buta dempuèi dos jorns .","Lo se vira , lo se revira d' aquí que , d' un còp , lo metòde li venga per la question ont buta dempuèi dos jorns . resòlvre",[0] -> [1] -> [2] -> [4]
Sa man l' alisa encara un còp per ne gardar la doçor abans de tornar davalar .,Sa man l' alisa encara un còp per ne la doçor gardar abans de tornar davalar .,[0] -> [1] -> [2] -> [4]
"Es 1000 inscriti de hereuèr venguèren 600 , totun era Marcha Beret non a quitat d' èster era competicion d' esquí de hons mès prestigiosa d' Occitània .","Es 1000 inscriti de hereuèr venguèren 600 , totun era Marcha Beret non a quitat d' era competicion d' esquí de hons mès prestigiosa d' Occitània . èster",[0] -> [1] -> [2] -> [4]
"Tres còps , ja , li avián cambiada la palha de segal de tant coma i aviá susat , una susor agra e canina que pudiá a ferum , a mòrt disián entre eles , en sortiguent , los vesins que l' èran vengut véser , un còp , dos còps , pensant qu' èra a las espèrras , mas que se n' alassèron de venir pèrdre temps , butats per lo trabalh que mancava pas en cò lor , e espaurugats per aquela malautiá que , qual sap s' èra pas contagiosa .","Tres còps , ja , li avián cambiada la palha de segal de tant coma i aviá susat , una susor agra e canina que pudiá a ferum , a mòrt disián entre eles , en sortiguent , los vesins que l' èran vengut véser , un còp , dos còps , pensant qu' èra a las espèrras , mas que se n' alassèron de venir temps , pèrdre butats per lo trabalh que mancava pas en cò lor , e espaurugats per aquela malautiá que , qual sap s' èra pas contagiosa .",[0] -> [1] -> [2] -> [4]
Se pòt téner lo tambornet amb la man per una manilha de cuèr .,Se pòt lo tambornet téner amb la man per una manilha de cuèr .,[0] -> [1] -> [2] -> [4]
"S' ausiguèt una votz rauca : Filha , te daissam la vida sauva se per bon grat t' abandonas a nosautres .","S' una votz rauca : ausiguèt Filha , te daissam la vida sauva se per bon grat t' abandonas a nosautres .",[0] -> [1] -> [2] -> [4]
Aqueth documentari navèth que vos harà tanben pujar en eths cortaus de era Varossa tà véder se quin trebalh èra de hèr e de conservar eth hormatge aciu-haut .,Aqueth documentari navèth que vos harà tanben pujar en eths cortaus de era Varossa tà véder se quin trebalh èra de hèr e de eth hormatge conservar aciu-haut .,[0] -> [1] -> [2] -> [4]
Mandam puei lei mans dedins sensa culhier e portam la bolhida a la boca .,lei mans Mandam puei dedins sensa culhier e portam la bolhida a la boca .,[0] -> [1] -> [2] -> [4]
"En 1954 participèt a la Santa Estèla que lo Felibritge celebrèt a Avinhon ( eveniment que inspirèt son roman La Santa Estèla de lo Centenari ) e i recebèt lo primièr prèmi de pròsa per los "" Contes de los Balsàs "" puèi en 1956 se faguèt membre de l' Institut d' Estudis Occitans .","En 1954 participèt a la Santa Estèla que lo Felibritge celebrèt a Avinhon ( eveniment que inspirèt son roman La Santa Estèla de lo Centenari ) e i lo primièr prèmi de pròsa recebèt per los "" Contes de los Balsàs "" puèi en 1956 se faguèt membre de l' Institut d' Estudis Occitans .",[0] -> [1] -> [2] -> [4]
"Bevián una escudelada de bolhon , rosegavan una codena , o rufavan tres o quatre castanhas .","Bevián una escudelada de bolhon , una codena , rosegavan o rufavan tres o quatre castanhas .",[0] -> [1] -> [2] -> [4]
"Aquò 's que , lo Posièr , tot aquò lo veniá cercar de lo diaussis : a l' un li caliá un barbèu , a l' autre un platat de trochas , e la mossudalha lo covidavan !","Aquò 's que , lo Posièr , tot aquò lo veniá cercar de lo diaussis : a l' un li un barbèu , caliá a l' autre un platat de trochas , e la mossudalha lo covidavan !",[0] -> [1] -> [2] -> [4]
"Davant ua aubèrja , devath la trilha , sus lo bòrd de la Mar grana , siès òmes hasèvan ribòta , entaulats dambe sèt bèras putas .","Davant ua aubèrja , devath la trilha , sus lo bòrd de la Mar grana , siès òmes ribòta , hasèvan entaulats dambe sèt bèras putas .",[0] -> [1] -> [2] -> [4]
"En virent lo canton , vegèt un polit ostau tot nòu , qu' aviá una verdesca per davant e un òrt per darrièrs .","En virent lo canton , un polit ostau tot nòu , qu' aviá una verdesca per davant e un òrt per darrièrs . vegèt",[0] -> [1] -> [2] -> [4]
"En virent lo canton , vegèt un polit ostau tot nòu , qu' aviá una verdesca per davant e un òrt per darrièrs .","En virent lo canton , vegèt un polit ostau tot nòu , qu' una verdesca aviá per davant e un òrt per darrièrs .",[0] -> [1] -> [2] -> [4]
"Entrement que barrotlava , tustèt una lèbra a lo jaç , que dormissiá ; la lebra partiguèt e arpentèt tot lo bòsc de la Suca .","Entrement que barrotlava , tustèt una lèbra a lo jaç , que dormissiá ; la lebra partiguèt e tot lo bòsc de la Suca . arpentèt",[0] -> [1] -> [2] -> [4]
"La musica serviscoc de ligam puèi que , dab l' ajuda d' Alidé Sans , Mathilde Mélard e Thibaut Dupoux de l' Isla de Baish , Marie Reuge e Amandine Savelli de Sent Gaudenç hascón ua represa d' ua cançon de Bob Marley en occitan .","La musica serviscoc de ligam puèi que , dab l' ajuda d' Alidé Sans , Mathilde Mélard e Thibaut Dupoux de l' Isla de Baish , Marie Reuge e Amandine Savelli de Sent Gaudenç ua represa d' ua cançon de Bob Marley en occitan . hascón",[0] -> [1] -> [2] -> [4]
I avèva un còp tres sòrs que darrivavan lin dens un camp .,I tres sòrs que darrivavan lin dens un camp . avèva un còp,[0] -> [1] -> [2] -> [4]
"Lo president de los Estats Units , Barack Obama , a sostengut lo drech d' Israèl de se defendre e d' empedir que l' Hizbullah obtenga d' armament avançat , e mai s' Israèl n' a fòrça .","Lo president de los Estats Units , Barack Obama , a lo drech d' Israèl de se defendre e d' empedir que l' Hizbullah obtenga d' armament avançat , e mai s' Israèl n' a fòrça . sostengut",[0] -> [1] -> [2] -> [4]
Ne caliá ne prendre son partit !,Ne caliá ne son partit ! prendre,[0] -> [1] -> [2] -> [4]
"Car se mon paire charrava l' italian ambé sei gents , èra pas lo cas ambé ma maire que conoissiá pas un mot d' aquesta lenga .","Car se mon paire l' italian charrava ambé sei gents , èra pas lo cas ambé ma maire que conoissiá pas un mot d' aquesta lenga .",[0] -> [1] -> [2] -> [4]
Dempuèi 1986 existís un Prèmi Joan Bodon que recompensa una òbra en occitan .,Dempuèi 1986 existís un Prèmi Joan Bodon que una òbra en occitan . recompensa,[0] -> [1] -> [2] -> [4]
"Sus la taula , la cafetièira e quatre vèires , ont demoravan qualques gotas de cafè : los de los quatre portaires qu' èran venguts quèrre la caissa de lo paure Tòni .","Sus la taula , la cafetièira e quatre vèires , ont demoravan qualques gotas de cafè : los de los quatre portaires qu' èran venguts la caissa de lo paure Tòni . quèrre",[0] -> [1] -> [2] -> [4]
"L' òme atudèt lo lum , dobriguèt la pòrta .","L' òme lo lum , atudèt dobriguèt la pòrta .",[0] -> [1] -> [2] -> [4]
"de lo costat de la rota actuala , s' arboravan tres muralhas de defensa que lo primièr se situava a l' endrech ont se ten ara lo portanèl per la visita de lo castèl .","de lo costat de la rota actuala , s' arboravan tres muralhas de defensa que lo primièr se situava a l' endrech ont se lo portanèl per la visita de lo castèl . ten ara",[0] -> [1] -> [2] -> [4]
"L' ainat dels bessons respondèt res ; mès ramenèt sa femna a la vila , e tornèt sol tustar a la pòrta de l' ostalet .","L' ainat dels bessons respondèt res ; mès sa femna ramenèt a la vila , e tornèt sol tustar a la pòrta de l' ostalet .",[0] -> [1] -> [2] -> [4]
màs un pauc de tristor te venguet quand comprengueres la mòrt de lo pilòt de fems que lançava pus vers tu sas sentors tèbias e prometeiritz .,màs un pauc de tristor te venguet quand la mòrt de lo pilòt de fems que lançava pus vers tu sas sentors tèbias e prometeiritz . comprengueres,[0] -> [1] -> [2] -> [4]
« Se fretava las mans de jòia .,« Se las mans fretava de jòia .,[0] -> [1] -> [2] -> [4]
"Poirem far de requèstas simplas : cèrca de concordàncias , trachas de contèxtes que clauson una forma ( un mot-grafic ) , una partida o una sequéncia de formas ; cèrca de co-ocurréncias , calcul de frequéncias .","Poirem far de requèstas simplas : cèrca de concordàncias , trachas de contèxtes que una forma ( un mot-grafic ) , una partida o una sequéncia de formas ; clauson cèrca de co-ocurréncias , calcul de frequéncias .",[0] -> [1] -> [2] -> [4]
"Aquò lor tornèt una jòia , una fisança qu' avián pas coneguda n' i aviá un briu .","Aquò lor tornèt una jòia , una fisança qu' avián pas coneguda n' i un briu . aviá",[0] -> [1] -> [2] -> [4]
"Limpèt de galís daus lo fons de la cauna , descatèt un òs de cabròl ont demoravan empraquí de bocins de consentena , de roganhons de carn .","Limpèt de galís daus lo fons de la cauna , un òs de cabròl ont demoravan empraquí de bocins de consentena , de roganhons de carn . descatèt",[0] -> [1] -> [2] -> [4]
"Agachan en partissent la tèrra ont se tròban los que aiman , amb qual an viscut .","Agachan en la tèrra ont se tròban los que aiman , amb qual an viscut . partissent",[0] -> [1] -> [2] -> [4]
"Tres còps , ja , li avián cambiada la palha de segal de tant coma i aviá susat , una susor agra e canina que pudiá a ferum , a mòrt disián entre eles , en sortiguent , los vesins que l' èran vengut véser , un còp , dos còps , pensant qu' èra a las espèrras , mas que se n' alassèron de venir pèrdre temps , butats per lo trabalh que mancava pas en cò lor , e espaurugats per aquela malautiá que , qual sap s' èra pas contagiosa .","Tres còps , ja , li avián la palha de segal cambiada de tant coma i aviá susat , una susor agra e canina que pudiá a ferum , a mòrt disián entre eles , en sortiguent , los vesins que l' èran vengut véser , un còp , dos còps , pensant qu' èra a las espèrras , mas que se n' alassèron de venir pèrdre temps , butats per lo trabalh que mancava pas en cò lor , e espaurugats per aquela malautiá que , qual sap s' èra pas contagiosa .",[0] -> [1] -> [2] -> [4]
"Las autoritats israelianas an pas confirmat cap de los dos atacs , mas o an fach de fonts diplomaticas e de lo govèrn de los Estats Units , qu' an dich que l' atac aviá coma objectiu un depaus de missils venent d' Iran e destinats a l' Hizbullah libanés .","Las autoritats israelianas an pas confirmat cap de los dos atacs , mas o an fach de fonts diplomaticas e de lo govèrn de los Estats Units , qu' an dich que l' atac un depaus de missils venent d' Iran e destinats a l' Hizbullah libanés . aviá coma objectiu",[0] -> [1] -> [2] -> [4]
"Bevián una escudelada de bolhon , rosegavan una codena , o rufavan tres o quatre castanhas .","una escudelada de bolhon , Bevián rosegavan una codena , o rufavan tres o quatre castanhas .",[0] -> [1] -> [2] -> [4]
Monsen Latorre aviá un biais aristocratic per téner la greda e èra lo sol a faire la letra « d » amb una corba doça en arrièr .,Monsen Latorre aviá un biais aristocratic per téner la greda e èra lo sol a la letra « d » faire amb una corba doça en arrièr .,[0] -> [1] -> [2] -> [4]
"Los que n' avián , avián de mainats o volián de sòus ; n' avián pas , los que l' aurián donat .","Los que n' avián , de mainats avián o volián de sòus ; n' avián pas , los que l' aurián donat .",[0] -> [1] -> [2] -> [4]
"- Diga , Gustina , demòres pas drecha , pren una cadièira …","- Diga , Gustina , demòres pas drecha , una cadièira … pren",[0] -> [1] -> [2] -> [4]
"Lo musician sortiguèt puèi Alba d' Occitània ont "" canta Bodon "" .","Lo musician Alba d' Occitània ont "" canta Bodon "" . sortiguèt puèi",[0] -> [1] -> [2] -> [4]
"Hasètz -lo castigar , afin que se corregisca e qu' aujam un bon rei , quan siatz mòrt .","Hasètz -lo castigar , afin que se corregisca e qu' un bon rei , aujam quan siatz mòrt .",[0] -> [1] -> [2] -> [4]
"Foguèt aquel an que grelhèt sa vocacion d' escrivan e son interès per l' occitan quand descobriguèt l' òbra de Justin Besson e subretot son poèma "" D' a lo brèç a la tomba "" .","Foguèt aquel an que grelhèt sa vocacion d' escrivan e son interès per l' occitan quand l' òbra de Justin Besson e subretot son poèma "" D' a lo brèç a la tomba "" . descobriguèt",[0] -> [1] -> [2] -> [4]
"Lo gojat , content coma un boçut , pren lo camin de son ostau , fièr d' avere fach un tant bòn mercat .","Lo gojat , content coma un boçut , lo camin de son ostau , pren fièr d' avere fach un tant bòn mercat .",[0] -> [1] -> [2] -> [4]
