sen_str,swapped_sen_str,leaf_rule
видиши ли сь҆ѭ̑ женѫ ѭ̑же видѣхъ прѣжде божь҆ства о҅чима ꙗ҅же неꙁъвана приде къ намъ ꙗ҅же прь҆воѥ бесрамиѥ сътвори бесрамиѥ добро ꙗ҅же вь҆ лѣпо врѣмꙙ жиꙁнь҆ноѥ покаꙁа бесрамиѥ҆ ѭ̑же тꙑ о҅глагола по н҄еже приде къ жиꙁни и҅ не дрь҆ꙁнѫвъши а҅кꙑ беꙁ лица прѣдь҆ лицемъ стати нъ ꙁади криѭ̑шти сꙙ и҅ прь҆вѫѭ̑ жиꙁниѭ̑ себѣ си о҅бличениѥ҆ бꙑваѭ̑шти,видиши ли сь҆ѭ̑ женѫ видѣхъ ѭ̑же прѣжде божь҆ства о҅чима ꙗ҅же неꙁъвана приде къ намъ ꙗ҅же прь҆воѥ бесрамиѥ сътвори бесрамиѥ добро ꙗ҅же вь҆ лѣпо врѣмꙙ жиꙁнь҆ноѥ покаꙁа бесрамиѥ҆ ѭ̑же тꙑ о҅глагола по н҄еже приде къ жиꙁни и҅ не дрь҆ꙁнѫвъши а҅кꙑ беꙁ лица прѣдь҆ лицемъ стати нъ ꙁади криѭ̑шти сꙙ и҅ прь҆вѫѭ̑ жиꙁниѭ̑ себѣ си о҅бличениѥ҆ бꙑваѭ̑шти,[0] -> [16]
сѫтъ боꙁи ѧ҅же вѣштаѥ҅ши,сѫтъ боꙁи вѣштаѥ҅ши ѧ҅же,[0] -> [16]
пѧть бо мѫжь имѣла еси ꙇ нꙑнѣ егоже имаши нѣстъ ти мѫжъ,пѧть бо мѫжь имѣла еси ꙇ нꙑнѣ имаши егоже нѣстъ ти мѫжъ,[0] -> [16]
Прихождаахѫ же и҅ женꙑ к н҄емоу и҅мѫштꙙ таи҅нꙑѧ врѣдꙑ и҅хже нѣмошть҆но врачемъ видѣти и҅ болꙙштꙙ и҅ о҄удрѫченꙑ о҅тъ длъгааго врѣмене страсть҆нааго падаа҅хѫ прѣдъ ногама ст꙯ааго съподобьѥ҅нꙑ бꙑти по о҄уставоу и҅ попранꙑ,Прихождаахѫ же и҅ женꙑ к н҄емоу и҅мѫштꙙ таи҅нꙑѧ врѣдꙑ нѣмошть҆но врачемъ видѣти и҅хже и҅ болꙙштꙙ и҅ о҄удрѫченꙑ о҅тъ длъгааго врѣмене страсть҆нааго падаа҅хѫ прѣдъ ногама ст꙯ааго съподобьѥ҅нꙑ бꙑти по о҄уставоу и҅ попранꙑ,[0] -> [16]
ѧ҅тоу бꙑвъшоу ст꙯оуо̑умоу петроу вои҅нꙑ ѧ҅же бѣа҅ше посълалъ цѣсарь дио҅клитиꙗ҅нъ на о̑убиѥ҅ниѥ ѥ҅го и҅ въвръженоу бꙑвъшоу въ темницѫ бꙑстъ по о҅бꙑчаю̑ молꙙштоу сꙙ ѥ҅моу въ полоуношти видѣти ю̑ношѫ красъна стоѧ҅шта прѣдь н҄имь о҅блѣчена въ котꙑгѫ льнѣнѫ раꙁдъранѫ о҅тъ горꙑ дожи и до долоу и҅ о҅бѣма рѫкама ѥ҅го и҅мъша ꙁа о҅бѣ полѣ риꙁь҆нѣи҆ и҅ ꙁакрꙑваѭ̑шта обнажениѥ своѥ да ѥ҅моу не бѫдетъ видѣти голъ прь҆сии҆,ѧ҅тоу бꙑвъшоу ст꙯оуо̑умоу петроу вои҅нꙑ бѣа҅ше посълалъ ѧ҅же цѣсарь дио҅клитиꙗ҅нъ на о̑убиѥ҅ниѥ ѥ҅го и҅ въвръженоу бꙑвъшоу въ темницѫ бꙑстъ по о҅бꙑчаю̑ молꙙштоу сꙙ ѥ҅моу въ полоуношти видѣти ю̑ношѫ красъна стоѧ҅шта прѣдь н҄имь о҅блѣчена въ котꙑгѫ льнѣнѫ раꙁдъранѫ о҅тъ горꙑ дожи и до долоу и҅ о҅бѣма рѫкама ѥ҅го и҅мъша ꙁа о҅бѣ полѣ риꙁь҆нѣи҆ и҅ ꙁакрꙑваѭ̑шта обнажениѥ своѥ да ѥ҅моу не бѫдетъ видѣти голъ прь҆сии҆,[0] -> [16]
моѥ҅ бо брашшь҆но рече ѥ҅стъ да сътворѫ вол҄ѫ о҅ть҆чѫ си да вѣроуѭ̑тъ ѥ҅гоже поусти о҅нъ,моѥ҅ бо брашшь҆но рече ѥ҅стъ да сътворѫ вол҄ѫ о҅ть҆чѫ си да вѣроуѭ̑тъ поусти ѥ҅гоже о҅нъ,[0] -> [16]
и҅ сѣавъ о҅жидаѥ҅тъ пришедъши жꙙтвѣ напльнити гоумно о҅тъ малааго о҅ного ѥ҅же вьсѣа надеждꙙ ради ѥ҅го ѭ̑же и҅мѣ къ христосоу,и҅ сѣавъ о҅жидаѥ҅тъ пришедъши жꙙтвѣ напльнити гоумно о҅тъ малааго о҅ного ѥ҅же вьсѣа надеждꙙ ради ѥ҅го и҅мѣ ѭ̑же къ христосоу,[0] -> [16]
пакꙑ подобъно естъ ц҃срствие н҃бское ч҃лвкоу коупъцоу ꙇщѫщѫ добръ бисьръ ꙇже обрѣтъ единъ мьногоцѣнень бисьръ шедъ продастъ вьсе имѣние елико имѣаше и коупи и,пакꙑ подобъно естъ ц҃срствие н҃бское ч҃лвкоу коупъцоу ꙇщѫщѫ добръ бисьръ ꙇже обрѣтъ единъ мьногоцѣнень бисьръ шедъ продастъ вьсе имѣние имѣаше елико и коупи и,[0] -> [16]
не и҅ꙁиска ѥ҅гоже о҅хоуди,не и҅ꙁиска о҅хоуди ѥ҅гоже,[0] -> [16]
тѣмь҆ тако богочь҆стивѣ и҅споуштеномъ о҅ ставьѥ҅нии крь҆стиꙗ҅нꙿстѣ гон҄ении҆ о҄увѣдѣвшемъ вѣрь҆нꙑмъ херсонꙗнемъ таковоѥ повелѣнь҆ѥ богочьстивааго цр꙯ѣ посълашꙙ к н҄емоу сълꙑ ꙗ҅коже дати и҅мъ е҅п꙯пъ повѣдавъше ѥ҅моу вь҆са ꙗ҅же о҅ ст꙯ꙑи҅хъ о҅ц꙯ихъ бꙑвъшаꙿ чоудотвориꙗ҆ ꙗ҆же и҅ ꙁѣло слꙑшавъ о҅ть҆ н҄ихъ цр꙯ь о҅брадова сꙙ,тѣмь҆ тако богочь҆стивѣ и҅споуштеномъ о҅ ставьѥ҅нии крь҆стиꙗ҅нꙿстѣ гон҄ении҆ о҄увѣдѣвшемъ вѣрь҆нꙑмъ херсонꙗнемъ таковоѥ повелѣнь҆ѥ богочьстивааго цр꙯ѣ посълашꙙ к н҄емоу сълꙑ ꙗ҅коже дати и҅мъ е҅п꙯пъ повѣдавъше ѥ҅моу вь҆са ꙗ҅же о҅ ст꙯ꙑи҅хъ о҅ц꙯ихъ бꙑвъшаꙿ чоудотвориꙗ҆ и҅ ꙁѣло слꙑшавъ ꙗ҆же о҅ть҆ н҄ихъ цр꙯ь о҅брадова сꙙ,[0] -> [16]
