sen_str,swapped_sen_str,leaf_rule
ихже око не видѣ и ѹхо не слыша и на срдце чл҃кѹ не възыде ꙗже ѹготова б҃гъ любѧщим его и хранѧщим заповѣди его,ихже око не видѣ и ѹхо не слыша и на срдце чл҃кѹ не възыде ѹготова ꙗже б҃гъ любѧщим его и хранѧщим заповѣди его,[0] -> [18]
"Ино мы тую землю , што ѡн кꙋпил подле города в Петрашка и в братанича его Ивашка , и теж тое село Доложцо , што кꙋпилъ в Микиты Кожчича и въ сыновъ его , призволѧемъ емꙋ кꙋпити и потвержаемъ то симъ нашимъ листом емꙋ , и его жоне , и ихъ детемъ , и потомъ бꙋдꙋчим ихъ счадкомъ вечно .","Ино мы тую землю , ѡн кꙋпил што подле города в Петрашка и в братанича его Ивашка , и теж тое село Доложцо , што кꙋпилъ в Микиты Кожчича и въ сыновъ его , призволѧемъ емꙋ кꙋпити и потвержаемъ то симъ нашимъ листом емꙋ , и его жоне , и ихъ детемъ , и потомъ бꙋдꙋчим ихъ счадкомъ вечно .",[0] -> [18]
"А наместнику нашому полоцъкому того права , которое есмо имъ перво сего дали , ни в чомъ не рꙋшили .","А наместнику нашому полоцъкому того права , есмо имъ перво сего дали которое , ни в чомъ не рꙋшили .",[0] -> [18]
"Великь бо есть промыслъ Божии , еже яви в послѣдняа времена !","Великь бо есть промыслъ Божии , яви еже в послѣдняа времена !",[0] -> [18]
"Ино Петрашка в жывоте не стало , Богъ дꙋшу его взялъ с того света , а жона его ѡдна ѡстала с тою дочкою , которую жъ за него зарꙋчыли , а иных детеи , прыплодꙋ по немъ ничого не ѡстало .","Ино Петрашка в жывоте не стало , Богъ дꙋшу его взялъ с того света , а жона его ѡдна ѡстала с тою дочкою , жъ за него зарꙋчыли которую , а иных детеи , прыплодꙋ по немъ ничого не ѡстало .",[0] -> [18]
"И государь [ титул ] слушав выписки , указал иноземцов , которые привели саржанта Петрову жену Фалькову в Иноземской приказ .","И государь [ титул ] слушав выписки , указал иноземцов , привели которые саржанта Петрову жену Фалькову в Иноземской приказ .",[0] -> [18]
"Се ѧз , раба б[ож]иѧ инока Ѡфросиньѧ , пишю грамоту д[у]шовную своимъ цѣлымъ оумомъ , кому ми што дати или на комъ што взѧти .","Се ѧз , раба б[ож]иѧ инока Ѡфросиньѧ , пишю грамоту д[у]шовную своимъ цѣлымъ оумомъ , кому ми дати што или на комъ што взѧти .",[0] -> [18]
"Пану Олехну Судимонътовичу петнадцать чоловеков , Кгудевичи у Городне , што Милошъ держалъ , на имя : Полуиковича Матеица , Иванца , Дробыша , Радивонка , Якова , Олисея , Даха , Семенца , Иева , Демъянца , Сесеня , Паша , Ондронца , Тинца , Пашка .","Пану Олехну Судимонътовичу петнадцать чоловеков , Кгудевичи у Городне , Милошъ держалъ што , на имя : Полуиковича Матеица , Иванца , Дробыша , Радивонка , Якова , Олисея , Даха , Семенца , Иева , Демъянца , Сесеня , Паша , Ондронца , Тинца , Пашка .",[0] -> [18]
словѣнѣ же сѣдѧху по дунаю ихъ же прияша оугре и морава и чеси и лѧховѣ и полѧне яже н҃нѣ зовемая русь,словѣнѣ же сѣдѧху по дунаю прияша ихъ же оугре и морава и чеси и лѧховѣ и полѧне яже н҃нѣ зовемая русь,[0] -> [18]
"О , бл҃же(н)ныⸯ и треблаже(н)ныⸯ де(н) сей , сицевымъ рожденіемъ почте(н)ныⸯ , де(н) во вѣки бѣлы(м) камене(м) знамена(н)ныⸯ : сей на(м) еди(н) есть , егоже сотвори Г(с)пдь , да возвесели(м)сꙗ и возрадꙋе(м)сꙗ вⸯонь ! ||{Стр._268.}","О , бл҃же(н)ныⸯ и треблаже(н)ныⸯ де(н) сей , сицевымъ рожденіемъ почте(н)ныⸯ , де(н) во вѣки бѣлы(м) камене(м) знамена(н)ныⸯ : сей на(м) еди(н) есть , сотвори егоже Г(с)пдь , да возвесели(м)сꙗ и возрадꙋе(м)сꙗ вⸯонь ! ||{Стр._268.}",[0] -> [18]
"О сем же вси мы известны , яко ангели Господни никогда не лгут , но что Господь Бог повелит им творити , или рещи кому что , то они и творят .","О сем же вси мы известны , яко ангели Господни никогда не лгут , но Господь Бог повелит что им творити , или рещи кому что , то они и творят .",[0] -> [18]
"Бил намъ чолом писар(ь) нашъ Ивашко Сопежичъ и поведил перед нами , што ж старица Светого Михаила в Полоцку на имѧ Фетин(ь)я зъ зѧтем своим Волфромеемъ и з дочкою своею Тат(ь)яною продала емꙋ сел(ь)це на Двине выше города на Болдавицах , повыше Шеша , которое ж сел(ь)це дал еи митрополитъ киевскии и всея Рꙋси небожчикъ Иѡна , бꙋдꙋчи еще владыкою полоцким и витебъским , кꙋплю свою , што ѡн кꙋпил въ Якова Красчинича .","Бил намъ чолом писар(ь) нашъ Ивашко Сопежичъ и поведил перед нами , што ж старица Светого Михаила в Полоцку на имѧ Фетин(ь)я зъ зѧтем своим Волфромеемъ и з дочкою своею Тат(ь)яною продала емꙋ сел(ь)це на Двине выше города на Болдавицах , повыше Шеша , которое ж сел(ь)це дал еи митрополитъ киевскии и всея Рꙋси небожчикъ Иѡна , бꙋдꙋчи еще владыкою полоцким и витебъским , кꙋплю свою , ѡн кꙋпил што въ Якова Красчинича .",[0] -> [18]
и послеть к намъ елико же хочемъ,и послеть к намъ хочемъ елико же,[0] -> [18]
чемѹ не восолеши чето ти есемо водала ковати,чемѹ не восолеши ти есемо водала чето ковати,[0] -> [18]
"А Олизару Шиловичу по тому ж корол записал отчину его : Горюхов , Марковичи , Губин , Серики , Любче , Поворско , а к тому два приселки – Подолеци , Дорошин ; а три чоловеки , што у князя Швитрикгаила выслужилъ .","А Олизару Шиловичу по тому ж корол записал отчину его : Горюхов , Марковичи , Губин , Серики , Любче , Поворско , а к тому два приселки – Подолеци , Дорошин ; а три чоловеки , у князя Швитрикгаила выслужилъ што .",[0] -> [18]
сь дн҃ь иже створи гсь,сь дн҃ь створи иже гсь,[0] -> [18]
Тогоже лѣт ростовци и суждалци здумавше вси поꙗша аньдрѣꙗ сн҃а ѥго старѣишаго и посадиша и в ростовѣ на ѡтни столѣ и суждали зане же бѣ любимъ всѣми за премногую ѥго добродѣтель юже имѧше преже к б҃у и ко всѣм сущим под нимъ,Тогоже лѣт ростовци и суждалци здумавше вси поꙗша аньдрѣꙗ сн҃а ѥго старѣишаго и посадиша и в ростовѣ на ѡтни столѣ и суждали зане же бѣ любимъ всѣми за премногую ѥго добродѣтель имѧше юже преже к б҃у и ко всѣм сущим под нимъ,[0] -> [18]
"Боговитину Непли , што Пятъковскии держал , а другое Козерады , што за Сестренцомъ было .","Боговитину Непли , Пятъковскии держал што , а другое Козерады , што за Сестренцомъ было .",[0] -> [18]
а ѣсть что можеть,а ѣсть можеть что,[0] -> [18]
и съвѣрьши иже насади десницѧ твоꙗ,и съвѣрьши насади иже десницѧ твоꙗ,[0] -> [18]
бывъшю же нѣколи дн҃и ст҃аго и великаго димитриꙗ въ нь же ха҃ ради мч҃нию коньць приꙗтъ пр҃пдбьномѹ же ѳеодосию съ братиѥю идȣщȣ вь манастырь ст҃аго димитриꙗ и се принесоша ѥмѹ хлѣбьцѣ нѣ ѿ кыихъ зѣло чисты ихъ же повелѣ келарю прѣдъложити на ꙗдь оставъшии тѹ братии,бывъшю же нѣколи дн҃и ст҃аго и великаго димитриꙗ въ нь же ха҃ ради мч҃нию коньць приꙗтъ пр҃пдбьномѹ же ѳеодосию съ братиѥю идȣщȣ вь манастырь ст҃аго димитриꙗ и се принесоша ѥмѹ хлѣбьцѣ нѣ ѿ кыихъ зѣло чисты повелѣ келарю прѣдъложити ихъ же на ꙗдь оставъшии тѹ братии,[0] -> [18]
Се же хощю сказати яже слышах преж сих д҃ лѣт яже сказа ми гюрѧтѧ роговичь новгородець гл҃ѧ сице яко,Се же хощю сказати слышах яже преж сих д҃ лѣт яже сказа ми гюрѧтѧ роговичь новгородець гл҃ѧ сице яко,[0] -> [18]
"И Ганусъ на Давыдку девѧсто грош(е)и оузѧл — тую достал(ь) , што Фома перевел .","И Ганусъ на Давыдку девѧсто грош(е)и оузѧл — тую достал(ь) , Фома перевел што .",[0] -> [18]
да пожалꙋи приятель мо спроси ꙋ Ивана ꙋ Михеевича о кабале что ѧ емꙋ отдал а Бори Пꙋтилова в пяти рубълях,да пожалꙋи приятель мо спроси ꙋ Ивана ꙋ Михеевича о кабале ѧ емꙋ отдал что а Бори Пꙋтилова в пяти рубълях,[0] -> [18]
"А што имут(ь) вашеи м(и)л(о)сти словом молъвити , ино то наше слово , всег(о) мѣста Полоцкого .","А имут(ь) вашеи м(и)л(о)сти словом молъвити што , ино то наше слово , всег(о) мѣста Полоцкого .",[0] -> [18]
"Бил нам чоломъ дьякъ писара нашого Ивашковъ Сопежыча Васко Исаковичъ и положил перед нами листъ тстя своего Петрашка Федоровича Юръцевича и жоны его , тещы своее Ꙋльяны , на то , што жъ ѡни , за доброе памети своее , дали ему и записали по своем жывоте за дочъкою своею Ѡгренъкою ꙋ Полоцъкомъ повете вси именья свои , и вси статки домовыи , и челяд(ь) невол(ь)ную , што ѡни сами мели .","Бил нам чоломъ дьякъ писара нашого Ивашковъ Сопежыча Васко Исаковичъ и положил перед нами листъ тстя своего Петрашка Федоровича Юръцевича и жоны его , тещы своее Ꙋльяны , на то , што жъ ѡни , за доброе памети своее , дали ему и записали по своем жывоте за дочъкою своею Ѡгренъкою ꙋ Полоцъкомъ повете вси именья свои , и вси статки домовыи , и челяд(ь) невол(ь)ную , ѡни сами мели што .",[0] -> [18]
и яже оустроихъ въ службах то держи,и оустроихъ яже въ службах то держи,[0] -> [18]
тогда же зажгоша дворъ красныи ѥгоже поставилъ бл҃говѣрныи кнѧзь всеволодъ на холму нарѣцаѥмѣмъ выдобычи,тогда же зажгоша дворъ красныи поставилъ ѥгоже бл҃говѣрныи кнѧзь всеволодъ на холму нарѣцаѥмѣмъ выдобычи,[0] -> [18]
и принесе ида икону ст҃ую бц҃ю юже принесоша въ единомь корабли с пирогощею изъ цсрѧграда,и принесе ида икону ст҃ую бц҃ю принесоша юже въ единомь корабли с пирогощею изъ цсрѧграда,[0] -> [18]
"И въказывал перед нами тых Харпиных детеи и листъ купчии , што в них кꙋпил .","И въказывал перед нами тых Харпиных детеи и листъ купчии , в них кꙋпил што .",[0] -> [18]
а ное самь вьдает[е] код цо исправить кодь что взѧти,а ное самь вьдает[е] код цо исправить кодь взѧти что,[0] -> [18]
а что ѧ о деньгахъ к тебѣ писал что дать Степанꙋ Ѳекълистовꙋ и ты пожалꙋи бꙋде бꙋдетъ от нево в деле какая помошь и ты емꙋ даи хотя всю полтинꙋ даи,а ѧ о деньгахъ к тебѣ писал что что дать Степанꙋ Ѳекълистовꙋ и ты пожалꙋи бꙋде бꙋдетъ от нево в деле какая помошь и ты емꙋ даи хотя всю полтинꙋ даи,[0] -> [18]
феѡдор юродивои был приставленъ над ним что на мезени ѿступники удавили вѣры ради старыя еже во х҃а,феѡдор юродивои был приставленъ над ним на мезени ѿступники удавили что вѣры ради старыя еже во х҃а,[0] -> [18]
и ѹмысли же самъ своимь съмѣрениѥмь отълѹчити сѧ на то дѣло ѥже и сътвори,и ѹмысли же самъ своимь съмѣрениѥмь отълѹчити сѧ на то дѣло и сътвори ѥже,[0] -> [18]
