sen_str,swapped_sen_str,leaf_rule
cümlesin bir yirde ḫalṭ idüb muḥkem ova tâ ki ḥall ola baʿdehû bâdâmı döküb bir miḳdârçe şekerle ova ve içine ḳoyub bir tepsi üzerine dizüb furuna ḳoyub ḫarâret pişürüb çıḳara ve’s-selâm,cümlesin bir yirde ḫalṭ idüb muḥkem ova tâ ki ḥall ola baʿdehû bâdâmı döküb bir miḳdârçe şekerle ova ve içine ḳoyub furuna ḳoyub pişürüb bir tepsi üzerine dizüb ḫarâret çıḳara ve’s-selâm,[0] -> [1] -> [2] -> [3]
Gelen yabancılar ise hayatımızı bozup onu meçhul bir düstura göre yeniden tanzim ettiler ve ruhlarımız için onu tanınmaz bir hale getirdiler .,Gelen yabancılar ise hayatımızı bozup meçhul bir düstura göre yeniden tanzim onu ettiler ve ruhlarımız için onu tanınmaz bir hale getirdiler .,[0] -> [1] -> [2] -> [3]
ve ol ḳubbenüñ içinden çıḳup ḫalḳa ḥamle itmekle cümlesini ḳaçurdı,ve ol ḳubbenüñ içinden çıḳup ḫalḳa ḥamle itmekle ḳaçurdı cümlesini,[0] -> [1] -> [2] -> [3]
"Bir zamanlar Arapları mertebe-i aliâ-ı medeniyete ıs'âd eden evvela şiire , sonra felsefe daha sonra da erbab-ı fünûn değil miydi ? Bu gün garplılardan mesela Fransa'yı tarih-i tekâmül itibariyle tedkik edecek olsak görüyoruz ki on birinci asırda Cornei , Milavir , Racine gibi dühât-ı şiir eğilmiş ; sonra on sekizinci asırda yaşayan ve Voltaire , Rousseau , Montesquieu gibi mütefekkirler yetişmiş ...","Bir zamanlar mertebe-i aliâ-ı medeniyete ıs'âd Arapları eden evvela şiire , sonra felsefe daha sonra da erbab-ı fünûn değil miydi ? Bu gün garplılardan mesela Fransa'yı tarih-i tekâmül itibariyle tedkik edecek olsak görüyoruz ki on birinci asırda Cornei , Milavir , Racine gibi dühât-ı şiir eğilmiş ; sonra on sekizinci asırda yaşayan ve Voltaire , Rousseau , Montesquieu gibi mütefekkirler yetişmiş ...",[0] -> [1] -> [2] -> [3]
bunca gündür ki ben seni öñüp otururdum,bunca gündür ki ben öñüp seni otururdum,[0] -> [1] -> [2] -> [3]
"Bir zamanlar Arapları mertebe-i aliâ-ı medeniyete ıs'âd eden evvela şiire , sonra felsefe daha sonra da erbab-ı fünûn değil miydi ? Bu gün garplılardan mesela Fransa'yı tarih-i tekâmül itibariyle tedkik edecek olsak görüyoruz ki on birinci asırda Cornei , Milavir , Racine gibi dühât-ı şiir eğilmiş ; sonra on sekizinci asırda yaşayan ve Voltaire , Rousseau , Montesquieu gibi mütefekkirler yetişmiş ...","Bir zamanlar Arapları mertebe-i aliâ-ı medeniyete ıs'âd eden evvela şiire , sonra felsefe daha sonra da erbab-ı fünûn değil miydi ? Bu gün garplılardan mesela tarih-i tekâmül itibariyle tedkik Fransa'yı edecek olsak görüyoruz ki on birinci asırda Cornei , Milavir , Racine gibi dühât-ı şiir eğilmiş ; sonra on sekizinci asırda yaşayan ve Voltaire , Rousseau , Montesquieu gibi mütefekkirler yetişmiş ...",[0] -> [1] -> [2] -> [3]
Garsonlardan biri “Efendi adamınızı çağıralım ne emrettiğinizi anlayamıyoruz” demeseydi biçare menzûlün belki sağlam tarafına da nüzûl isabet edecekti : Adamını çağırmalarına muvâfakat ettiğini bir işaretle anlatınca hizmetçiler şitabân oldular .,Garsonlardan biri “Efendi adamınızı çağıralım emrettiğinizi ne anlayamıyoruz” demeseydi biçare menzûlün belki sağlam tarafına da nüzûl isabet edecekti : Adamını çağırmalarına muvâfakat ettiğini bir işaretle anlatınca hizmetçiler şitabân oldular .,[0] -> [1] -> [2] -> [3]
ammâ mezbûr dîvân begi yûsuf paşanuñ şecâʿatine ve yanında ġı ʿaskerüñ bî-pervâ ḳıtâline imʿân-ı naẓar ḳılduḳda güzel şâhum bir dil-âver ġâzîsün ancaḳ gûş-ı hûşuña benden bu pendi mülḥaḳ buyur ki şâhımuz ḥamza mîrzâ ḥâlâ evcân yaylaġı ḳurbında nüzûl itmiş dür ve şimdiki ḥâlde bu ḥavâlîde bir köye yimeklenmege inmiş dür ve leşkeriñüz ile muḳâbele niyyetine güzîde ġâzîleri bilesince uydurmış dur pes şimdi her ḳanda ise gelür bu miḳdâr cüzʾî âdemle bulup sizi pençesine alur vaḳtiyle tedârükiñüzi görüñ yâ orduya çekilüñ yâḫûd daḫı leşker getürüñ didükde cıġala-zâde bu ḫaberleri serdâr cânibine bildürdi,ammâ mezbûr dîvân begi yûsuf paşanuñ şecâʿatine ve yanında ġı ʿaskerüñ bî-pervâ ḳıtâline imʿân-ı naẓar ḳılduḳda güzel şâhum bir dil-âver ġâzîsün ancaḳ gûş-ı hûşuña benden bu pendi mülḥaḳ buyur ki şâhımuz ḥamza mîrzâ ḥâlâ evcân yaylaġı ḳurbında nüzûl itmiş dür ve şimdiki ḥâlde bu ḥavâlîde bir köye yimeklenmege inmiş dür ve leşkeriñüz ile muḳâbele niyyetine güzîde ġâzîleri bilesince uydurmış dur pes şimdi her ḳanda ise gelür bu miḳdâr cüzʾî âdemle bulup pençesine alur sizi vaḳtiyle tedârükiñüzi görüñ yâ orduya çekilüñ yâḫûd daḫı leşker getürüñ didükde cıġala-zâde bu ḫaberleri serdâr cânibine bildürdi,[0] -> [1] -> [2] -> [3]
yalan söylemeyesin ve beni aldamayasın,yalan söylemeyesin ve aldamayasın beni,[0] -> [1] -> [2] -> [3]
hemân naẓara merġûb olanları getürüp taʿẓîmine ṣarf-ı maḳdûr ḳıldılar,hemân merġûb getürüp naẓara olanları taʿẓîmine ṣarf-ı maḳdûr ḳıldılar,[0] -> [1] -> [2] -> [3]
züheyr daḫı bunı göricek bildi kim bu ʿavret buña ḥîle eylemiş,züheyr daḫı göricek bunı bildi kim bu ʿavret buña ḥîle eylemiş,[0] -> [1] -> [2] -> [3]
gider ken maʿdî kerebüñ żaʿîfligi ḫâṭırına geldi ve ayrılduġına peşîmân oldı ve żaʿîf olmış ıken ḥamle itmedügine nedâmet itdi ve yine dönüp eline bir ḥarbe alup maʿdî kerebüñ ardına düşdi ve naʿra urup ḥamle ḳıldı,gider ken maʿdî kerebüñ żaʿîfligi ḫâṭırına geldi ve ayrılduġına peşîmân oldı ve żaʿîf olmış ıken ḥamle itmedügine nedâmet itdi ve yine dönüp eline bir ḥarbe alup maʿdî kerebüñ ardına düşdi ve urup naʿra ḥamle ḳıldı,[0] -> [1] -> [2] -> [3]
