sen_str,swapped_sen_str,leaf_rule
نجلۍ خپل ملګري ته لیک ولیکۀ .,نجلۍ خپل ملګري ته ولیکۀ لیک .,[0] -> [1]
د ځینو لرغونو پاچايانو او ټولواکانو په وخت کې چې لیکنۍ ژبه لا نه وه دود شوې ، نو انځورګرانو به د ونو پر ډډونو ، دېوالونو يا ښویو ډبرو انځورونه کښل ، د انځورونو په واسطه به يې خپل نور ملګري يا هملاري پوهول ، خو کله چې لیکنۍ او ږغیزې ژبې لږ څه نور پرمختګ هم وکړ ، لیکدود رامنځته شو ، چې اوس د نړۍ ټولې ژبې ځانګړى لیکدود او لیکلار لري .,د ځینو لرغونو پاچايانو او ټولواکانو په وخت کې چې لیکنۍ ژبه لا نه وه دود شوې ، نو انځورګرانو به د ونو پر ډډونو ، دېوالونو يا ښویو ډبرو انځورونه کښل ، د انځورونو په واسطه به يې خپل نور ملګري يا هملاري پوهول ، خو کله چې لیکنۍ او ږغیزې ژبې لږ څه نور پرمختګ هم وکړ ، لیکدود رامنځته شو ، چې اوس د نړۍ ټولې ژبې لري ځانګړى لیکدود او لیکلار .,[0] -> [1]
د ځینو لرغونو پاچايانو او ټولواکانو په وخت کې چې لیکنۍ ژبه لا نه وه دود شوې ، نو انځورګرانو به د ونو پر ډډونو ، دېوالونو يا ښویو ډبرو انځورونه کښل ، د انځورونو په واسطه به يې خپل نور ملګري يا هملاري پوهول ، خو کله چې لیکنۍ او ږغیزې ژبې لږ څه نور پرمختګ هم وکړ ، لیکدود رامنځته شو ، چې اوس د نړۍ ټولې ژبې ځانګړى لیکدود او لیکلار لري .,د ځینو لرغونو پاچايانو او ټولواکانو په وخت کې چې لیکنۍ ژبه لا نه وه دود شوې ، نو انځورګرانو به د ونو پر ډډونو ، دېوالونو يا ښویو ډبرو کښل انځورونه ، د انځورونو په واسطه به يې خپل نور ملګري يا هملاري پوهول ، خو کله چې لیکنۍ او ږغیزې ژبې لږ څه نور پرمختګ هم وکړ ، لیکدود رامنځته شو ، چې اوس د نړۍ ټولې ژبې ځانګړى لیکدود او لیکلار لري .,[0] -> [1]
له ورکاوي او ړنګېدو څخه يې ساتي .,له ورکاوي او ړنګېدو څخه ساتي يې .,[0] -> [1]
ما ګام ور سره ونۀ شوای نیولای ، ځکه چې هغۀ خورا ژرژر منډه وهله .,ما ګام ور سره ونۀ شوای نیولای ، ځکه چې هغۀ خورا ژرژر وهله منډه .,[0] -> [1]
زموږ موخه د ژباړې له اړخه د پښتو پیاوړي کول دي ، غوره به دا وي ، چې پر نورو خواوو زياتې څرګندونې ونه کړو .,زموږ موخه د ژباړې له اړخه د پښتو پیاوړي کول دي ، غوره به دا وي ، چې پر نورو خواوو ونه کړو زياتې څرګندونې .,[0] -> [1]
له دې کبله نه ايرانى ولس په دې برخه کې کومه ستونزه لري ، نه يې هم ماشومان خپله ملي او رسمي ژبه هېر کوي ، بلکې د ملت جوړونې پروسه يې هم په ښه روانه ده او برياوې يې هم خورا زياتې دي .,له دې کبله نه ايرانى ولس په دې برخه کې لري کومه ستونزه ، نه يې هم ماشومان خپله ملي او رسمي ژبه هېر کوي ، بلکې د ملت جوړونې پروسه يې هم په ښه روانه ده او برياوې يې هم خورا زياتې دي .,[0] -> [1]
همدغه راز ښه زېرمه او بنسټ ولري ، که چېرې ژبه د ژباړې په برخه کې بهرنى ملاتړ ونه لري او ځواک ورکوونکې سرچینه يې کمزورې وي ، امکان لري ، خلک د یو بل د پوهونې لپاره د نورو ژبو له ادبي ، هنري او ټولنیزو ويیونو څخه کار واخلي ، خو که چېرې یوه ژبه د خلکو ټولې ژبنۍ اړتیاوې ځواب کولاى شي ، خلکو ته هم هوسايي وربخښي ، د دې ترڅنګ د ټولنیز ژوند نظام هم روغ او رمټ پاتېږي .,همدغه راز ولري ښه زېرمه او بنسټ ، که چېرې ژبه د ژباړې په برخه کې بهرنى ملاتړ ونه لري او ځواک ورکوونکې سرچینه يې کمزورې وي ، امکان لري ، خلک د یو بل د پوهونې لپاره د نورو ژبو له ادبي ، هنري او ټولنیزو ويیونو څخه کار واخلي ، خو که چېرې یوه ژبه د خلکو ټولې ژبنۍ اړتیاوې ځواب کولاى شي ، خلکو ته هم هوسايي وربخښي ، د دې ترڅنګ د ټولنیز ژوند نظام هم روغ او رمټ پاتېږي .,[0] -> [1]
خو د پښتو بدمرغي همدا ده چې پوهنیز کتابونه يې لږ دي او د ژباړې تله يې درنه نه ده ، د پښتو د علمي کولو لپاره یوه داسې اقدام ته ضرورت شته ، چې وکولاى شي په ټوله سیمه کې مېشت پښتانه د پردیو له کلتوري ستم څخه راوباسي ، یوه اېډیولوژيکه تګلاره دې ور باندې پلې کړي ، چې شعوري خلک کار او پراخو هڅو ته اړ کړي .,خو د پښتو بدمرغي همدا ده چې پوهنیز کتابونه يې لږ دي او د ژباړې تله يې درنه نه ده ، د پښتو د علمي کولو لپاره یوه داسې اقدام ته ضرورت شته ، چې وکولاى شي په ټوله سیمه کې مېشت پښتانه د پردیو له کلتوري ستم څخه راوباسي ، یوه اېډیولوژيکه تګلاره دې ور باندې پلې کړي ، چې کار او پراخو هڅو ته اړ کړي شعوري خلک .,[0] -> [1]
یو ښوونځى هم پښتو لوست نه ورکوي .,یو ښوونځى هم نه ورکوي پښتو لوست .,[0] -> [1]
