sen_str,swapped_sen_str,leaf_rule
akreke teʔkeri semana =s ke =ma ã =ra tVerwa =ma,akreke teʔkeri semana =s ke =ma tVerwa ã =ra =ma,[0] -> [1]
"y toʔ =kari , yẽhi =na arwã =ya , toʔ =ma , tas =ma takatʃatVi ,","y toʔ =kari , yẽhi =na arwã =ya , toʔ =ma , takatʃatVi tas =ma ,",[0] -> [1]
ĩ =kan ãri =ri ĩ =kan ũtas =mã nĩhã ũtatũheri ĩ =ɲa artʃuiʃbarpi =ra,ĩ =kan ãri =ri ĩ =kan ũtas =mã nĩhã ũtatũheri artʃuiʃbarpi ĩ =ɲa =ra,[0] -> [1]
arani ã =ra artuhtVhi .,arani artuhtVhi ã =ra .,[0] -> [1]
ã =kari ã =pe =ma artʃuiʃatVri,ã =kari artʃuiʃatVri ã =pe =ma,[0] -> [1]
ĩketa =ma yar =i joder kaparwa amasparwa tVkairi tVerwa,ĩketa =ma yar =i kaparwa joder amasparwa tVkairi tVerwa,[0] -> [1]
ameʃkari tas tis ĩ =ɲa artʃuiʃpa tVari,ameʃkari tas tis artʃuiʃpa ĩ =ɲa tVari,[0] -> [1]
tas =mã ĩ =ɲa artʃuiʃpa ameʃkari ã =yã =hã,tas =mã artʃuiʃpa ĩ =ɲa ameʃkari ã =yã =hã,[0] -> [1]
ates ĩ nã peʔkawa .,ates nã peʔkawa ĩ .,[0] -> [1]
ã =yã ĩsi porka kaawa,ã =yã kaawa ĩsi porka,[0] -> [1]
"aye =ro , ãma ẽɲ iʃkerwa =ʃona ã =ma =ha , paherwa =ma , toʔ kapaherwa =ma .","aye =ro , ãma ẽɲ iʃkerwa =ʃona ã =ma =ha , paherwa =ma , kapaherwa toʔ =ma .",[0] -> [1]
ah joder kapari,ah kapari joder,[0] -> [1]
"tiros =ma , kah kũteʃkiwã .","tiros =ma , kũteʃkiwã kah .",[0] -> [1]
tapakerwa ã =yã ĩ =ɲa artʃuiʃkari,tapakerwa ã =yã artʃuiʃkari ĩ =ɲa,[0] -> [1]
ã =kan =ras ates =ma artʃuiʃatVri akreke ã =yo tʃaawa,ã =kan =ras artʃuiʃatVri ates =ma akreke ã =yo tʃaawa,[0] -> [1]
