sen_str,swapped_sen_str,leaf_rule
"Tha 'm fear a bha an a rùnaire ‘son na dùthchannan cèin aig àm cogadh na Falklands agus a bha cuideachd an a cheannard air NATO , air am buidhean a chàineadh airson mar a ghiùlain iad fhèin ann an cogadh Chosobho .","Tha 'm fear a bha an a rùnaire ‘son na dùthchannan cèin aig àm cogadh na Falklands agus a bha cuideachd an a cheannard air NATO , air a chàineadh am buidhean airson mar a ghiùlain iad fhèin ann an cogadh Chosobho .",[0] -> [16] -> [17] -> [18]
seo a-nis tha cothrom eile air cudthrom mòr a chur air cluicheadairean dìon Yugoslavia,seo a-nis tha cothrom eile air a chur cudthrom mòr air cluicheadairean dìon Yugoslavia,[0] -> [16] -> [17] -> [18]
tha Gough a' ruith suas còmhla ri e ag a chuideachadh,tha Gough a' ruith suas còmhla ri e ag chuideachadh a,[0] -> [16] -> [17] -> [18]
"Bha e riaraichte le chrannchur , is tuathanas beag aig e ag a chumail gun èis is a mhàthair a' cumail an taighe do e .","Bha e riaraichte le chrannchur , is tuathanas beag aig e ag chumail a gun èis is a mhàthair a' cumail an taighe do e .",[0] -> [16] -> [17] -> [18]
tha mise ‘ dol ag a fheuchainn co-dhiubh,tha mise ‘ dol ag fheuchainn a co-dhiubh,[0] -> [16] -> [17] -> [18]
tha mi 'dol do a fheuchainn co-dhiubh proove-adh a bheil iad an e,tha mi 'dol do fheuchainn a co-dhiubh proove-adh a bheil iad an e,[0] -> [16] -> [17] -> [18]
"Dè am math do Nisich an taigh fhàgail gun pìos guga a thoirt le iad , agus 's e sin a rinn iad .","Dè am math do Nisich an taigh fhàgail gun a thoirt pìos guga le iad , agus 's e sin a rinn iad .",[0] -> [16] -> [17] -> [18]
"Ghluais e bho thaobh gu taobh e gus an robh am feur air a phronnadh , dorch .","Ghluais e bho thaobh gu taobh e gus an robh am feur air phronnadh a , dorch .",[0] -> [16] -> [17] -> [18]
Thuirt an t-òstair gu robh cead aig iad suidhe far an togradh iad - nach robh àite air a thoirmeasg .,Thuirt an t-òstair gu robh cead aig iad suidhe far an togradh iad - nach robh àite air thoirmeasg a .,[0] -> [16] -> [17] -> [18]
bha a' chuid a b' fhearr an dà tharbh air an cumail ann an geata,bha a' chuid a b' fhearr an dà tharbh air cumail an ann an geata,[0] -> [16] -> [17] -> [18]
Thuirt an SSTA nach robh am pàigheadh a bh' air a thabhainn airson dòighean obrach ùra idir coltach .,Thuirt an SSTA nach robh am pàigheadh a bh' air thabhainn a airson dòighean obrach ùra idir coltach .,[0] -> [16] -> [17] -> [18]
"Bha Labhruinn fhéin dòcha beagan na b' òige na na fìr , dòcha a' bualadh air an dà fhichead - duine àrd , caol , dorcha le falt dubh an a chaisleagan mu chùl amhaich , ach an fhiasag air a bearradh gu goirid , eagnaidh mu chnàimh a pheircill .","Bha Labhruinn fhéin dòcha beagan na b' òige na na fìr , dòcha a' bualadh air an dà fhichead - duine àrd , caol , dorcha le falt dubh an a chaisleagan mu chùl amhaich , ach an fhiasag air bearradh a gu goirid , eagnaidh mu chnàimh a pheircill .",[0] -> [16] -> [17] -> [18]
Tha bàrdachd Ghàidhlig de dhà bhun-sheòrsa ag a dèanamh an diugh .,Tha bàrdachd Ghàidhlig de dhà bhun-sheòrsa ag dèanamh a an diugh .,[0] -> [16] -> [17] -> [18]
fear shìos fo sinn ann an seo agus 's e Nicol a tha ag a gabhail,fear shìos fo sinn ann an seo agus 's e Nicol a tha ag gabhail a,[0] -> [16] -> [17] -> [18]
Malpas ag a cur a-mach air taobh thall na pàirc 's sadadh a-steach do Yugoslavia,Malpas ag cur a a-mach air taobh thall na pàirc 's sadadh a-steach do Yugoslavia,[0] -> [16] -> [17] -> [18]
"Mar thoradh air iomadh falbh agus tilleadh , tha an t-eilean roinnte eadar a’ chuid sin de a shaoghal a tha caillte , a chuid a tha am bàrd air a ghléidheadh an e fhéin agus a tha bunasach an a bheatha , agus an t-eilean mar a tha e air tionndadh gu bhith an a àite eadar-dhealaichte .","Mar thoradh air iomadh falbh agus tilleadh , tha an t-eilean roinnte eadar a’ chuid sin de a shaoghal a tha caillte , a chuid a tha am bàrd air ghléidheadh a an e fhéin agus a tha bunasach an a bheatha , agus an t-eilean mar a tha e air tionndadh gu bhith an a àite eadar-dhealaichte .",[0] -> [16] -> [17] -> [18]
"Tha sgrùdadh ag a dhèanamh ann an Ceann Tàil an-dràsda , airson sreapadair a chaidh air chall anns na beanntan an-raoir .","Tha sgrùdadh ag dhèanamh a ann an Ceann Tàil an-dràsda , airson sreapadair a chaidh air chall anns na beanntan an-raoir .",[0] -> [16] -> [17] -> [18]
cò ri e a bha iad ag a dhiscussadh ?,cò ri e a bha iad ag dhiscussadh a ?,[0] -> [16] -> [17] -> [18]
"Suas gu 1975 , bha na h-Eileanan an-Iar air an sgaradh gu mì-nàdarra .","Suas gu 1975 , bha na h-Eileanan an-Iar air sgaradh an gu mì-nàdarra .",[0] -> [16] -> [17] -> [18]
Feuch nach tog sibh cearr mi – chan eil mi ag ràitinn nach bu chòir do sinn a bhith mothachail idir air son feum a dhèanamh agus ùidh a thoirt do leanabh aig a bheil Gàidhlig .,Feuch nach tog sibh cearr mi – chan eil mi ag ràitinn nach bu chòir do sinn a bhith mothachail idir air son a dhèanamh feum agus ùidh a thoirt do leanabh aig a bheil Gàidhlig .,[0] -> [16] -> [17] -> [18]
doirbh an obair ach 's e a-mach air am beathachadh dìreach,doirbh an obair ach 's e a-mach air beathachadh am dìreach,[0] -> [16] -> [17] -> [18]
bha iad ag an reic,bha iad ag reic an,[0] -> [16] -> [17] -> [18]
Tha sinn an-diugh ag a fhaicinn nas iomchaidhe 's nas buannachdaile bàrdachd na Gàidhlig a rannsachadh 's a mheas a-rèir an dualchais do am buin i 's mu choinneamh an t-suidheachaidh a tha ag a toirt gu bith .,Tha sinn an-diugh ag fhaicinn a nas iomchaidhe 's nas buannachdaile bàrdachd na Gàidhlig a rannsachadh 's a mheas a-rèir an dualchais do am buin i 's mu choinneamh an t-suidheachaidh a tha ag a toirt gu bith .,[0] -> [16] -> [17] -> [18]
tha an rèitire a' cantainn gum bu choir do iad cumail air iad cluich agus a-nise tha Basdorelitch do Yugoslavia a' tighinn a-steach air leth Alba le i ag a feuchainn a-mach an taobh seo gu Ruyolitch,tha an rèitire a' cantainn gum bu choir do iad cumail air iad cluich agus a-nise tha Basdorelitch do Yugoslavia a' tighinn a-steach air leth Alba le i ag feuchainn a a-mach an taobh seo gu Ruyolitch,[0] -> [16] -> [17] -> [18]
"Cha robh e furasta siubhal eadar na h-eileanan oir cha robh guth air drochaidean neo cabhsairean ach ann an Uibhist a-mhàin – tha Uibhist a Deas agus Beinn na Fadhla air a bhith air an ceangal le drochaid bho àm an dara cogaidh , agus air do chabhsair a’ Chinn a Tuath fosgladh ann an 1956 bha na trì eileanan sin air an toirt còmhla .","Cha robh e furasta siubhal eadar na h-eileanan oir cha robh guth air drochaidean neo cabhsairean ach ann an Uibhist a-mhàin – tha Uibhist a Deas agus Beinn na Fadhla air a bhith air ceangal an le drochaid bho àm an dara cogaidh , agus air do chabhsair a’ Chinn a Tuath fosgladh ann an 1956 bha na trì eileanan sin air an toirt còmhla .",[0] -> [16] -> [17] -> [18]
is e sin is coireach a h-uile ceithir bliadhna gu bheil latha a bharrachd aig sinn ag a chur dhan a’ bhliadhna agus a h-uile ceud bliadhna tha latha a bharrachd ag a chur an e,is e sin is coireach a h-uile ceithir bliadhna gu bheil latha a bharrachd aig sinn ag chur a dhan a’ bhliadhna agus a h-uile ceud bliadhna tha latha a bharrachd ag a chur an e,[0] -> [16] -> [17] -> [18]
Spasitch ag a gluasad a-steach gu Yositch,Spasitch ag gluasad a a-steach gu Yositch,[0] -> [16] -> [17] -> [18]
MacStay ag a cur air ais gu Gorem,MacStay ag cur a air ais gu Gorem,[0] -> [16] -> [17] -> [18]
uill ars’ esan tha a’ bhean aig a' ghill' aig mi a-staigh agus tha fhios aig i dè 'n uidheam a th' an e agus cà 'il mi ag a cumail ach ars’ esan chan eil mi ‘son an ainm aig i bheir seachad idir do dhuine sam bith ach rud a chanas e nuair a ruigeas e a-null ars’ esan,uill ars’ esan tha a’ bhean aig a' ghill' aig mi a-staigh agus tha fhios aig i dè 'n uidheam a th' an e agus cà 'il mi ag cumail a ach ars’ esan chan eil mi ‘son an ainm aig i bheir seachad idir do dhuine sam bith ach rud a chanas e nuair a ruigeas e a-null ars’ esan,[0] -> [16] -> [17] -> [18]
"Anns an àm ud , tha na Goill - na h-eachdraichean shuas , mar eisimpleir , no , mar eisimpleir , Victor Durcacz , Charles W. J. Withers , agus Malcolm Chapman , air barrachd treabhaidh a dhèanamh ann an roinn sgrùdaidhean na Gàidhealtachd , agus cha ghabhar ás àicheadh nach eil deagh bhàrr a' fàs air na h-iomairean aig iad cuideachd .","Anns an àm ud , tha na Goill - na h-eachdraichean shuas , mar eisimpleir , no , mar eisimpleir , Victor Durcacz , Charles W. J. Withers , agus Malcolm Chapman , air a dhèanamh barrachd treabhaidh ann an roinn sgrùdaidhean na Gàidhealtachd , agus cha ghabhar ás àicheadh nach eil deagh bhàrr a' fàs air na h-iomairean aig iad cuideachd .",[0] -> [16] -> [17] -> [18]
"Tha e air a bhith còrr 's deich bliadhna an Ecuador a-nis , agus anns an ùine sin tha e air mòran a dhèanamh air son còr nan daoine a thoirt air adhart , a' cur a bheatha fhéin ann an cunnart gu math tric","Tha e air a bhith còrr 's deich bliadhna an Ecuador a-nis , agus anns an ùine sin tha e air a dhèanamh mòran air son còr nan daoine a thoirt air adhart , a' cur a bheatha fhéin ann an cunnart gu math tric",[0] -> [16] -> [17] -> [18]
"Cha robh na daoine riaraichte idir leis an seo agus dh’iarr iad lethbhreac de an litir-aonta a bha Seumas MacRath , maor-fearainn Sgìr Uige , air a leughadh do iad nuair a ghabh iad a’ mhòinteach agus ris an robh iad air an ainm a chur .","Cha robh na daoine riaraichte idir leis an seo agus dh’iarr iad lethbhreac de an litir-aonta a bha Seumas MacRath , maor-fearainn Sgìr Uige , air a leughadh do iad nuair a ghabh iad a’ mhòinteach agus ris an robh iad air a chur an ainm .",[0] -> [16] -> [17] -> [18]
Souness ag a fheuchainn a-mach do an taobh-sa dhen a’ phàirc gu Nichol,Souness ag fheuchainn a a-mach do an taobh-sa dhen a’ phàirc gu Nichol,[0] -> [16] -> [17] -> [18]
buille shaor do Yugoslavia air a gabhail gu luath,buille shaor do Yugoslavia air gabhail a gu luath,[0] -> [16] -> [17] -> [18]
Stoykavitch ag a feuchainn gu math luath gu Hatsybegitch,Stoykavitch ag feuchainn a gu math luath gu Hatsybegitch,[0] -> [16] -> [17] -> [18]
Tha buill pàrlamaid Pàrtaidh Aonaidh Ulaidh air draghan a nochdadh mu aithrisean gu bheil an riaghaltas am beachd atharrachadh mòr a dhèanamh air RUC .,Tha buill pàrlamaid Pàrtaidh Aonaidh Ulaidh air a nochdadh draghan mu aithrisean gu bheil an riaghaltas am beachd atharrachadh mòr a dhèanamh air RUC .,[0] -> [16] -> [17] -> [18]
Tha an searg ag a fhaicinn cuideachd ann an deilbh na bàrdachd fhéin ; ann an crìonadh air so-labhairt ; ann an dith ath-nuadhais agus ann an cus earbsa á comhriaghailt ; anns na meataforan troimh-a-chéile ; agus ann am marbh-riaghailt an àite faram seòlta .,Tha an searg ag fhaicinn a cuideachd ann an deilbh na bàrdachd fhéin ; ann an crìonadh air so-labhairt ; ann an dith ath-nuadhais agus ann an cus earbsa á comhriaghailt ; anns na meataforan troimh-a-chéile ; agus ann am marbh-riaghailt an àite faram seòlta .,[0] -> [16] -> [17] -> [18]
"Thuirt Mo Mowlam gun deach an IRA glè fhaisg air an fois-fhòirneirt a bhriseadh leis a’ phàirt a bh' aig iad ann am murt draibheir tacsaidh am Beul Fearst , ach nach do bhris i .","Thuirt Mo Mowlam gun deach an IRA glè fhaisg air a bhriseadh an fois-fhòirneirt leis a’ phàirt a bh' aig iad ann am murt draibheir tacsaidh am Beul Fearst , ach nach do bhris i .",[0] -> [16] -> [17] -> [18]
tha esan ag a cur gu Katernitch,tha esan ag cur a gu Katernitch,[0] -> [16] -> [17] -> [18]
"Chan eil teagamh nach eil Ailig O Hianlaidh tàlanta , inntinneach agus tlachdmhor a bhith ag a éisdeachd , ach a-mach bho mhàthair agus 's dòcha a chompanach , chan eil duine sam bith cho tarraingeach 's gun iarradh daoine eile éisdeachd ri iad a' bruidhinn gun sgur air son uair an uaireadair .","Chan eil teagamh nach eil Ailig O Hianlaidh tàlanta , inntinneach agus tlachdmhor a bhith ag éisdeachd a , ach a-mach bho mhàthair agus 's dòcha a chompanach , chan eil duine sam bith cho tarraingeach 's gun iarradh daoine eile éisdeachd ri iad a' bruidhinn gun sgur air son uair an uaireadair .",[0] -> [16] -> [17] -> [18]
"B' e an siostam bhòtaidh thuirt Paddy Ashdown , a bha ri choireachadh airson 's gu robh earbsa a’ mhòr-shluaigh ag a mhilleadh .","B' e an siostam bhòtaidh thuirt Paddy Ashdown , a bha ri choireachadh airson 's gu robh earbsa a’ mhòr-shluaigh ag mhilleadh a .",[0] -> [16] -> [17] -> [18]
MacStay ag a feuchainn agus Nicholl a-steach,MacStay ag feuchainn a agus Nicholl a-steach,[0] -> [16] -> [17] -> [18]
Mhìnich an seudair do e nach b' e an aon dòigh a ghabhadh seudairean na dùthcha seo gus clach a ghearradh is a ghabhadh iad air taobh eile a' chuain .,Mhìnich an seudair do e nach b' e an aon dòigh a ghabhadh seudairean na dùthcha seo gus a ghearradh clach is a ghabhadh iad air taobh eile a' chuain .,[0] -> [16] -> [17] -> [18]
Gough ag a feuchainn suas an loighne gu Nichol ach choinnich Spasitch i agus dh’fheuch esan gu Sretgovitch i agus tha an rèitire ag ràdh gun do rinn Spasitch droch chluich an siud air Nichol,Gough ag feuchainn a suas an loighne gu Nichol ach choinnich Spasitch i agus dh’fheuch esan gu Sretgovitch i agus tha an rèitire ag ràdh gun do rinn Spasitch droch chluich an siud air Nichol,[0] -> [16] -> [17] -> [18]
Tha 'd ag ràdh gu bheil iad airson lorg fhaighinn air na cuirp a tha fhathast air an tìodhlaigeadh mus adhbharaich iad galair .,Tha 'd ag ràdh gu bheil iad airson lorg fhaighinn air na cuirp a tha fhathast air tìodhlaigeadh an mus adhbharaich iad galair .,[0] -> [16] -> [17] -> [18]
Tha am fear eile air a dhìon cuideachd .,Tha am fear eile air dhìon a cuideachd .,[0] -> [16] -> [17] -> [18]
"Tha Dualchas Nàdarra na h-Alba , Comann Dìon nan Eunlaith agus Aonadh nan Croitearan a-measg buidhnean a tha air taic a chur ri comataidh ùr a chaidh a stèidheachadh ann an Uibhist a Tuath .","Tha Dualchas Nàdarra na h-Alba , Comann Dìon nan Eunlaith agus Aonadh nan Croitearan a-measg buidhnean a tha air a chur taic ri comataidh ùr a chaidh a stèidheachadh ann an Uibhist a Tuath .",[0] -> [16] -> [17] -> [18]
MacLare ag a feuchainn a-mach gu Bett,MacLare ag feuchainn a a-mach gu Bett,[0] -> [16] -> [17] -> [18]
Bha 'n athair air a fhradharc a chall 's bha e 'g éisdeachd ri na mic a' bruidhinn ri 'màthair ann an ìochdar an taighe .,Bha 'n athair air a chall a fhradharc 's bha e 'g éisdeachd ri na mic a' bruidhinn ri 'màthair ann an ìochdar an taighe .,[0] -> [16] -> [17] -> [18]
Tha a’ Bhan-phrionnsa Diana air slaic a thoirt air pàipearan-naidheachd Bhreatainn - 's i 'cumail a-mach gu robh i air Breatainn fhàgail fad ron a-seo mur a b' e gu robh clann aig i .,Tha a’ Bhan-phrionnsa Diana air a thoirt slaic air pàipearan-naidheachd Bhreatainn - 's i 'cumail a-mach gu robh i air Breatainn fhàgail fad ron a-seo mur a b' e gu robh clann aig i .,[0] -> [16] -> [17] -> [18]
esan ag a sruighleadh a-mach gu taobh thall na pàirce gu Stanoykevitch,esan ag sruighleadh a a-mach gu taobh thall na pàirce gu Stanoykevitch,[0] -> [16] -> [17] -> [18]
Spasitch ag a feuchainn a-steach dhan a’ mheadhan gu Stoykavitch,Spasitch ag feuchainn a a-steach dhan a’ mheadhan gu Stoykavitch,[0] -> [16] -> [17] -> [18]
"Gheall Prìomh Mhinisteir na h-Alba , Dòmhnall Dewar , gu seall an Riaghaltas sa bhad air suidheachadh Bheinn a' Bhaoghla 's Uibhist airson eaconamaidh na sgìre a neartachadh .","Gheall Prìomh Mhinisteir na h-Alba , Dòmhnall Dewar , gu seall an Riaghaltas sa bhad air suidheachadh Bheinn a' Bhaoghla 's Uibhist airson a neartachadh eaconamaidh na sgìre .",[0] -> [16] -> [17] -> [18]
thàinig an dorsair 's dh’fhaighneachd an dorsair cò bh' an e agus thuirt e gu robh esan Fear a’ Churracain Ghlais nan trì boghannan caorunn agus nan naoi saigheadan seilich gu robh e air tighinn a dh’iarraidh Nighean Rìgh Locha Trèig airson a pòsadh agus mur a faigheadh e i i bhith aig iad fhèin ach mur a faigheadh a’ chlach a b' àirde a bha anns an chaisteal gur h-i b' ìsle bhiodh an e an ceartuair agus thuirt an duine ri e tha trì rudan aig an duine a gheibh Nighean Rìgh Locha Trèig,thàinig an dorsair 's dh’fhaighneachd an dorsair cò bh' an e agus thuirt e gu robh esan Fear a’ Churracain Ghlais nan trì boghannan caorunn agus nan naoi saigheadan seilich gu robh e air tighinn a dh’iarraidh Nighean Rìgh Locha Trèig airson pòsadh a agus mur a faigheadh e i i bhith aig iad fhèin ach mur a faigheadh a’ chlach a b' àirde a bha anns an chaisteal gur h-i b' ìsle bhiodh an e an ceartuair agus thuirt an duine ri e tha trì rudan aig an duine a gheibh Nighean Rìgh Locha Trèig,[0] -> [16] -> [17] -> [18]
Chruinnich na Libearalaich anns an Bhaile Shoilleir ( Brighton ) far an do rinn Padaidh Ashdown òraid fhada air do e a dhreuchd a chur de e mar cheannard na pàrtaidh an dèidh 11 bhliadhna .,Chruinnich na Libearalaich anns an Bhaile Shoilleir ( Brighton ) far an do rinn Padaidh Ashdown òraid fhada air do e a chur a dhreuchd de e mar cheannard na pàrtaidh an dèidh 11 bhliadhna .,[0] -> [16] -> [17] -> [18]
Bha feadhainn dhe leithid sin air am meas gaisgeil .,Bha feadhainn dhe leithid sin air meas am gaisgeil .,[0] -> [16] -> [17] -> [18]
Ach thuirt buidheann àrainneachd an riaghaltais - SEPA - gu robh iad riaraichte leis na bha ag a dhèanamh airson an t-sluagh a dhìon .,Ach thuirt buidheann àrainneachd an riaghaltais - SEPA - gu robh iad riaraichte leis na bha ag a dhèanamh airson a dhìon an t-sluagh .,[0] -> [16] -> [17] -> [18]
Davidson ag a feuchainn suas ach choinnich MacLeish e,Davidson ag feuchainn a suas ach choinnich MacLeish e,[0] -> [16] -> [17] -> [18]
chan eil fhios aig mi cà bheil iad ag an faighinn,chan eil fhios aig mi cà bheil iad ag faighinn an,[0] -> [16] -> [17] -> [18]
Aitken ag a feuchainn a-null do an taobh-sa de an phàirce gu Johnson,Aitken ag feuchainn a a-null do an taobh-sa de an phàirce gu Johnson,[0] -> [16] -> [17] -> [18]
Aitken ag a gabhail ann an cabhag suas gu MacIlvenny,Aitken ag gabhail a ann an cabhag suas gu MacIlvenny,[0] -> [16] -> [17] -> [18]
Nicol ag a ghabhail gu math cabhagach ag a feuchainn ri a faighinn a-nall gu Strachan ach choinnich Creeno i le a cheann agus chaidh i seachad agus 's e buille bho an oisean a bhios an e air an taobh-sa de an phàirc do dh’Alba,Nicol ag a ghabhail gu math cabhagach ag feuchainn a ri a faighinn a-nall gu Strachan ach choinnich Creeno i le a cheann agus chaidh i seachad agus 's e buille bho an oisean a bhios an e air an taobh-sa de an phàirc do dh’Alba,[0] -> [16] -> [17] -> [18]
"“ Tha a’ Phàrlamaid ri moladh son gluasad an ìre mhath luath a thaobh dreuchd oifigeir a stéidheachadh , ach tha feum air oifigeir eile air taobh a-staigh an Riaghaltais cuideachd .","“ Tha a’ Phàrlamaid ri moladh son gluasad an ìre mhath luath a thaobh a stéidheachadh dreuchd oifigeir , ach tha feum air oifigeir eile air taobh a-staigh an Riaghaltais cuideachd .",[0] -> [16] -> [17] -> [18]
"Tha na Toraidhean 's na Nàiseantaich air ionnsaidh chruaidh a thoirt air a’ riaghaltas , airson cead a thoirt stèiseanan maor cladaich an Obain anns an Chaol Arcaich a dhùnadh .","Tha na Toraidhean 's na Nàiseantaich air ionnsaidh chruaidh a thoirt air a’ riaghaltas , airson a thoirt cead stèiseanan maor cladaich an Obain anns an Chaol Arcaich a dhùnadh .",[0] -> [16] -> [17] -> [18]
Có bho e a bu chòir do sinn a bhith air ar dìon ?,Có bho e a bu chòir do sinn a bhith air dìon ar ?,[0] -> [16] -> [17] -> [18]
bha i dìreach ag mo chumail o [Name] [Name],bha i dìreach ag chumail mo o [Name] [Name],[0] -> [16] -> [17] -> [18]
