sen_str,swapped_sen_str,leaf_rule
ڊي سي او هائوس ۾ ڪاوش سان ڳالهائيندي مخدوم امين فهيم چيو ته هي قدرتي آفت آهي جيڪا پاڪستان جي ٻين صوبن ۾ تباهي مچائڻ بعد سنڌ ۾ پهتي آهي ،,ڊي سي او هائوس ۾ ڪاوش سان ڳالهائيندي مخدوم امين فهيم چيو ته هي قدرتي آفت آهي جيڪا پاڪستان جي ٻين صوبن ۾ مچائڻ تباهي بعد سنڌ ۾ پهتي آهي ،,[0] -> [1] -> [2]
۽ مڙسس زنانا ڪپڙا پهري ، ماني کڻي ،,۽ مڙسس زنانا ڪپڙا پهري ، کڻي ماني ،,[0] -> [1] -> [2]
بابا سائين جي انتقال مونکي اڌورو ڪري ڇڏيو آهي .,بابا سائين جي انتقال اڌورو ڪري مونکي ڇڏيو آهي .,[0] -> [1] -> [2]
جنهن ڪري ڪيترائي ماڻهو لڏپلاڻ ڪري رهيا هئا ،,جنهن ڪري ڪيترائي ماڻهو ڪري لڏپلاڻ رهيا هئا ،,[0] -> [1] -> [2]
جڏهن هُو ڌنڌو ڪري گھر ايندو هو ته هوءَ پنهنجا وار کولي هن تي پنهنجي حسن جا وار ڪندي هئي ۽ هُو ڏسندو رهندو هو .,جڏهن هُو ڌنڌو ڪري گھر ايندو هو ته هوءَ کولي پنهنجا وار هن تي پنهنجي حسن جا وار ڪندي هئي ۽ هُو ڏسندو رهندو هو .,[0] -> [1] -> [2]
۽ اسان ٻچڙن جي دعوت قبول ڪريو .,۽ قبول ڪريو اسان ٻچڙن جي دعوت .,[0] -> [1] -> [2]
سکر کان هيٺ ويندي ٺٽي ۾ سنڌوءَ جي ڇوڙ تائين واري علائقي جا ماڻهو ڪنهن به طرح موجوده ٻوڏ جي حوالي سان ڪو به خطرو نه کڻن ،,سکر کان هيٺ ويندي ٺٽي ۾ سنڌوءَ جي ڇوڙ تائين واري علائقي جا ماڻهو ڪنهن به طرح موجوده ٻوڏ جي حوالي سان نه کڻن ڪو به خطرو ،,[0] -> [1] -> [2]
مبارڪپور ۽ آباد واري علائقن مان ڪراس ڪندڙ بيگاري ڪئنال جي ڀر ۾ قائم ڪيترن ئي ڳوٺن جي رهواسين کي حد جي ٿاڻن جي ايس ايڇ اوز ذريعي ڳوٺ خالي ڪرڻ جي وارننگ جاري ڪئي وئي ،,مبارڪپور ۽ آباد واري علائقن مان ڪراس ڪندڙ بيگاري ڪئنال جي ڀر ۾ قائم ڪيترن ئي ڳوٺن جي رهواسين کي حد جي ٿاڻن جي ايس ايڇ اوز ذريعي خالي ڪرڻ ڳوٺ جي وارننگ جاري ڪئي وئي ،,[0] -> [1] -> [2]
جڏهن ته سکر بئراج جي لهواري پاسي خيرپور ۽ شڪارپور ضلعي ۾ پڻ بچاءُ بندن تي پاڻي جو دٻاءُ زور وٺي ويو آهي ،,جڏهن ته سکر بئراج جي لهواري پاسي خيرپور ۽ شڪارپور ضلعي ۾ پڻ بچاءُ بندن تي پاڻي جو دٻاءُ وٺي زور ويو آهي ،,[0] -> [1] -> [2]
تون سڀاڻي سويرو منهنجا ڪپڙا پائي هـَرن تي اچجانءِ ۽ مان دير سان تنهنجا ڪپڙا پائي ، ماني کڻي ايندس .,تون سڀاڻي سويرو پائي منهنجا ڪپڙا هـَرن تي اچجانءِ ۽ مان دير سان تنهنجا ڪپڙا پائي ، ماني کڻي ايندس .,[0] -> [1] -> [2]
