sen_str,swapped_sen_str,leaf_rule
වාණිජ මණ්ඩලයේ සාමාජිකයෝ කිහිප දෙනෙක් ද මෙවර අයවැය අගය කරති .,වාණිජ මණ්ඩලයේ සාමාජිකයෝ කිහිප දෙනෙක් ද අගය මෙවර අයවැය කරති .,[0]
එහි ඉතා පැහැදිලි හා ගැඹුරු අදහසක් තිබේ .,එහි තිබේ ඉතා පැහැදිලි හා ගැඹුරු අදහසක් .,[0]
එහෙත් අවසානයේ ඔහු ඉලක්කය ජය ගත්තේ ය .,එහෙත් අවසානයේ ඔහු ජය ඉලක්කය ගත්තේ ය .,[0]
එම පක්ෂයට මවුබිම ගැන බරපතළ හැඟීමක් නැත .,එම පක්ෂයට මවුබිම ගැන නැත බරපතළ හැඟීමක් .,[0]
එය හොඳ සහතිකයක් සේ සැලකිය හැකි ය .,එය සැලකිය හොඳ සහතිකයක් සේ හැකි ය .,[0]
ඔහු අවධානය යොමුකර ඇත්තේ සල්ලි ගැන පමණය .,ඔහු යොමුකර අවධානය ඇත්තේ සල්ලි ගැන පමණය .,[0]
දෙවැන්න අත්අඩංගුවේ පසුවන කොටි ත්‍රස්තවාදීන් නිදහස් කිරීම ය .,දෙවැන්න අත්අඩංගුවේ පසුවන නිදහස් කොටි ත්‍රස්තවාදීන් කිරීම ය .,[0]
ඕනෑම රාජ්‍ය නායකයකුට ඉරානයෙන් ආරාධනා ලැබෙන්නේ නැත .,ඕනෑම රාජ්‍ය නායකයකුට ඉරානයෙන් ලැබෙන්නේ ආරාධනා නැත .,[0]
ෆොන්සේකා මහතා ඉතා මෝඩ හා උද්ධච්ඡ කතාවක් ද කියා තිබේ .,ෆොන්සේකා මහතා කියා ඉතා මෝඩ හා උද්ධච්ඡ කතාවක් ද තිබේ .,[0]
ඔහු ඊට අවශ්‍ය සියලු දේ සකසා ගෙන තිබේ .,ඔහු සකසා ඊට අවශ්‍ය සියලු දේ ගෙන තිබේ .,[0]
සෑම පක්ෂයක් ම එහි වගකීම භාරගත යුතුය .,සෑම පක්ෂයක් ම භාරගත එහි වගකීම යුතුය .,[0]
ආරක්ෂක ලේකම්වරයා ඊට නිසි පිළිතුරු ලබා දී තිබේ .,ආරක්ෂක ලේකම්වරයා ඊට ලබා නිසි පිළිතුරු දී තිබේ .,[0]
ෆොන්සේකා මහතා ද හමුදාවේ සෙබළුන් පාවා දී තිබේ .,ෆොන්සේකා මහතා ද පාවා හමුදාවේ සෙබළුන් දී තිබේ .,[0]
ශ්‍රී ලංකාව වැනි රාජ්‍යයක් ගොඩනැඟීම සඳහා ජනමූල නායකයකු අවශ්‍ය වේ .,ශ්‍රී ලංකාව වැනි ගොඩනැඟීම රාජ්‍යයක් සඳහා ජනමූල නායකයකු අවශ්‍ය වේ .,[0]
එදා ජනතාව සිය යුතුකම ඉටු කළේ ය .,එදා ජනතාව ඉටු සිය යුතුකම කළේ ය .,[0]
යුරෝපා සංගමය ද එම අදහස ම දරයි .,යුරෝපා සංගමය ද දරයි එම අදහස ම .,[0]
හමුදා ප්‍රධානයකු රාජ්‍යයක පවතින යුද රහස් දනී .,හමුදා ප්‍රධානයකු දනී රාජ්‍යයක පවතින යුද රහස් .,[0]
මේ දෙදෙනා ම සිය කීර්තිය විනාශ කර ගත්හ .,මේ දෙදෙනා ම විනාශ සිය කීර්තිය කර ගත්හ .,[0]
මහින්ද රාජපක්ෂ මහතාට පුළුල් ආර්ථික දර්ශනයක් තිබේ .,මහින්ද රාජපක්ෂ මහතාට තිබේ පුළුල් ආර්ථික දර්ශනයක් .,[0]
එසේ ගිය සෑම කෙනාම පාවා දෙන්නකු ලෙස සැලකේ .,එසේ ගිය සෑම කෙනාම සැලකේ පාවා දෙන්නකු ලෙස .,[0]
ඒ ලෝකයා නො මඟ යැවීම සඳහා ය .,ඒ නො මඟ යැවීම ලෝකයා සඳහා ය .,[0]
රනිල් වික්‍රමසිංහ මහතා මීට පෙර ද රට පාවා දුන්නේ ය .,රනිල් වික්‍රමසිංහ මහතා මීට පෙර ද පාවා රට දුන්නේ ය .,[0]
ඔහුට තවදුරටත් සමාවක් දිය නො හැකි ය .,ඔහුට තවදුරටත් දිය සමාවක් නො හැකි ය .,[0]
සාකච්ඡාවල අරමුණ අයවැය ඡන්දයෙන් ආණ්ඩුව පැරදවීම ය .,සාකච්ඡාවල අරමුණ අයවැය ඡන්දයෙන් පැරදවීම ආණ්ඩුව ය .,[0]
ඔහු කලකට පෙර තම දක්ෂතාව පෙන්වූයේ ලේඛනයෙනි .,ඔහු කලකට පෙර පෙන්වූයේ තම දක්ෂතාව ලේඛනයෙනි .,[0]
රටට හිතැති හමුදා ප්‍රධානයකු කොමිස්වලට යට වන්නේ නැත .,රටට හිතැති හමුදා ප්‍රධානයකු යට කොමිස්වලට වන්නේ නැත .,[0]
ශ්‍රී ලංකාව වැනි රාජ්‍යයක් ගොඩනැඟීම සඳහා ජනමූල නායකයකු අවශ්‍ය වේ .,ශ්‍රී ලංකාව වැනි රාජ්‍යයක් ගොඩනැඟීම සඳහා අවශ්‍ය ජනමූල නායකයකු වේ .,[0]
අවසන් මොහොතේ යථාර්ථය පිළිගන්නට යුනෙස්කෝ අධිපතිවරයාට සිදුවිය .,අවසන් මොහොතේ පිළිගන්නට යථාර්ථය යුනෙස්කෝ අධිපතිවරයාට සිදුවිය .,[0]
අද නිදහසේ හුස්ම පොදක් ගැනීමේ අවස්ථාව ජනතාවට තිබේ .,අද නිදහසේ ගැනීමේ හුස්ම පොදක් අවස්ථාව ජනතාවට තිබේ .,[0]
ඒ දෙපොළ එකිනෙකා ට ආශිර්වාද කර ගනිති .,ඒ දෙපොළ ආශිර්වාද එකිනෙකා ට කර ගනිති .,[0]
