sen_str,swapped_sen_str,leaf_rule
"Президентыбызга рәхмәт , һәр мөрәҗәгать яклау табып килә » , — диде .","Президентыбызга рәхмәт , һәр мөрәҗәгать табып яклау килә » , — диде .",[0]
"Сыйфатсыз су өчен кире исәпләүләр үткәрергә кирәк дисәгез , ясагыз .","Сыйфатсыз су өчен үткәрергә кире исәпләүләр кирәк дисәгез , ясагыз .",[0]
"Альберт Ризванов сүзләренә караганда , аларны башка илләргә сәяхәт итүчеләр алып кайтырга мөмкин .","Альберт Ризванов сүзләренә караганда , башка илләргә сәяхәт итүчеләр алып аларны кайтырга мөмкин .",[0]
« Казан утлары » ның йөз еллыгы белән төрки дөньяның дуслыгын исбатладык .,« Казан утлары » ның йөз еллыгы белән исбатладык төрки дөньяның дуслыгын .,[0]
Халыкның бу эшне аңлап кабул итүләрен сорыйм .,Халыкның аңлап бу эшне кабул итүләрен сорыйм .,[0]
"Хәзер тикшерүчеләр бу хәл килеп чыгу сәбәпләрен ачыклый , шулай ук ир-атны юлга этеп чыгарган кешене эзлиләр , дип хәбәр итте Россия Тикшерү идарәсенең Татарстан буенча Тикшерү идарәсе җитәкчесенең өлкән ярдәмчесе Андрей Шептицкий .","Хәзер тикшерүчеләр бу хәл килеп чыгу сәбәпләрен ачыклый , шулай ук эзлиләр ир-атны юлга этеп чыгарган кешене , дип хәбәр итте Россия Тикшерү идарәсенең Татарстан буенча Тикшерү идарәсе җитәкчесенең өлкән ярдәмчесе Андрей Шептицкий .",[0]
« Безнең бурыч - планлаштырылган эшләрне нәтиҗәле башкару .,« Безнең бурыч - нәтиҗәле башкару планлаштырылган эшләрне .,[0]
Агымдагы елның сентябрендә Түбән Кама эзтабарлары Кырымнан килгән хезмәттәшләре белән берлектә сугыш узган урыннарда казу эшләре оештырган .,Агымдагы елның сентябрендә Түбән Кама эзтабарлары Кырымнан килгән хезмәттәшләре белән берлектә сугыш узган урыннарда оештырган казу эшләре .,[0]
"Кызганычка , төрле ярышларда күп тапкырлар җиңү яулаган район баһадиры пневмонияне җиңә алмады .","Кызганычка , төрле ярышларда күп тапкырлар җиңү яулаган район баһадиры җиңә пневмонияне алмады .",[0]
"Очрашуда Татарстан Президент Аппараты җитәкчесе Әсгать Сәфәров , ТР Дәүләт Советы Рәисе урынбасары , Татар телен саклау һәм үстерү комиссиясе рәисе Марат Әхмәтов , Татарстанның мәгариф һәм фән министры Илсур Һадиуллин , Татарстанның мәдәният министры Ирада Әюпова , Татарстанның яшьләр эшләре министры Тимур Сөләйманов катнаша .","Очрашуда Татарстан Президент Аппараты җитәкчесе Әсгать Сәфәров , ТР Дәүләт Советы Рәисе урынбасары , саклау Татар телен һәм үстерү комиссиясе рәисе Марат Әхмәтов , Татарстанның мәгариф һәм фән министры Илсур Һадиуллин , Татарстанның мәдәният министры Ирада Әюпова , Татарстанның яшьләр эшләре министры Тимур Сөләйманов катнаша .",[0]
"Синоптиклар сишәмбе һәм чәршәмбе көннәрендә республикада + 23 °С җылы булуын , ә ял көннәрендә салкыннар көтелүе турында хәбәр итә .","Синоптиклар хәбәр итә сишәмбе һәм чәршәмбе көннәрендә республикада + 23 °С җылы булуын , ә ял көннәрендә салкыннар көтелүе турында .",[0]
"Бәлки , ике төрлесен дә күрсәтеп , комбинация ясау кирәктер .","Бәлки , күрсәтеп ике төрлесен дә , комбинация ясау кирәктер .",[0]
« Комиссия эшчәнлегендә елны шулай итеп игълан итү безгә бик тупланып эшләргә ярдәм итте .,« Комиссия эшчәнлегендә шулай итеп игълан елны итү безгә бик тупланып эшләргә ярдәм итте .,[0]
Кичә « Казан утлары » журналы тарихы аша татар әдәбияты тарихын күз алдыннан үткәрә .,Кичә « Казан утлары » журналы тарихы аша күз алдыннан үткәрә татар әдәбияты тарихын .,[0]
Россия президенты Владимир Путин күп тапкыр Covid-19дан вакцина ясарга чакырды .,Россия президенты Владимир Путин күп тапкыр ясарга Covid-19дан вакцина чакырды .,[0]
"Өмә барышында үзбушаткычлар һәм төягечләр җәлеп ителде , чүп-чар җыю һәм чыгару оештырылды , юл буйлары тәртипкә китерелде , чүп үләннәре бетерелде , коры ботаклар киселде .","Өмә барышында үзбушаткычлар һәм төягечләр җәлеп ителде , оештырылды чүп-чар җыю һәм чыгару , юл буйлары тәртипкә китерелде , чүп үләннәре бетерелде , коры ботаклар киселде .",[0]
Дәүләт башлыгы процедураның мөһимлеген ассызыклый һәм Россиянең барлык вакциналарының куркынычсыз һәм ышанычлы булуын билгеләп үтә .,Дәүләт башлыгы процедураның мөһимлеген ассызыклый һәм билгеләп Россиянең барлык вакциналарының куркынычсыз һәм ышанычлы булуын үтә .,[0]
Татарстан Сәламәтлек саклау министрлыгы матбугат хезмәтендә мобиль вакцинация пунктларының эш тәртибен аңлаттылар .,Татарстан саклау Сәламәтлек министрлыгы матбугат хезмәтендә мобиль вакцинация пунктларының эш тәртибен аңлаттылар .,[0]
"« Мөселман берләшмәләре һәм Төмән өлкәсендә дини объектлар » белешмәлеге турында « Төмән өлкәсе мөселманнарының өч үзәкләштерелгән дини оешмасы катнашында чыгарылган уникаль басмада Көнбатыш Себернең көньягында ислам таралышының тәфсилле тарихы бәян ителгән , төбәктәге һәрбер мөселман мәхәлләсе турында мәгълүмат бирелгән .","« Мөселман берләшмәләре һәм Төмән өлкәсендә дини объектлар » белешмәлеге турында « Төмән өлкәсе мөселманнарының өч үзәкләштерелгән дини оешмасы катнашында чыгарылган уникаль басмада Көнбатыш Себернең көньягында ислам таралышының тәфсилле тарихы бәян ителгән , төбәктәге һәрбер мөселман мәхәлләсе турында бирелгән мәгълүмат .",[0]
Хәзер кешеләрне ничек җәлеп итү һәм аңлату эшләрен ничек алып бару мәсьәләсен хәл итәргә кирәк .,Хәзер ничек җәлеп кешеләрне итү һәм аңлату эшләрен ничек алып бару мәсьәләсен хәл итәргә кирәк .,[0]
"« Математика һәм чит тел , тарих һәм чит тел буенча белем алган белгечләр мәктәпләргә кирәк , алар төпләнеп калыр дип өметләнәбез » , — дип белдерде ул .","« Математика һәм чит тел , тарих һәм чит тел буенча алган белем белгечләр мәктәпләргә кирәк , алар төпләнеп калыр дип өметләнәбез » , — дип белдерде ул .",[0]
Мөфти Зиннәт хәзрәт Садыйков Төмән өлкәсенең мөселман дини берләшмәләре турында белешмәлек чыгаруга көч куйган редакция коллегиясе әгъзаларына рәхмәт белдерде .,Мөфти Зиннәт хәзрәт Садыйков Төмән өлкәсенең мөселман дини берләшмәләре турында белешмәлек чыгаруга куйган көч редакция коллегиясе әгъзаларына рәхмәт белдерде .,[0]
"Әмма сәүдә үзәгендә вакцинация пунктына аерым керү урыны оештырылса , ул барлык теләүчеләр өчен эшне дәвам итәчәк .","Әмма сәүдә үзәгендә вакцинация пунктына аерым керү урыны оештырылса , ул барлык теләүчеләр өчен дәвам эшне итәчәк .",[0]
Бүген Василий Ломановның туганнары һәм Чиләбе хакимияте вәкилләренә аның җәсәден тапшырдылар .,Бүген Василий Ломановның туганнары һәм Чиләбе хакимияте вәкилләренә тапшырдылар аның җәсәден .,[0]
Рамил Фәттахов үзенең фотоларында һәр мизгелне чагылдырган .,Рамил Фәттахов үзенең фотоларында чагылдырган һәр мизгелне .,[0]
Чаллы су каналы һәм йортларны кайнар су белән тәэмин итүче оешмалар үз хезмәтләре өчен шәһәрдә яшәүчеләрдән акча ала .,Чаллы су каналы һәм йортларны кайнар су белән тәэмин итүче оешмалар үз хезмәтләре өчен шәһәрдә яшәүчеләрдән ала акча .,[0]
Быел Хаҗга бару өчен алдан түләү 2500 $ тәшкил итә .,Быел Хаҗга бару өчен алдан түләү тәшкил итә 2500 $ .,[0]
"Татарстанның мәгариф һәм фән министры Илсур Һадиуллин әйтүенчә , укытучыларны мәктәпләрдә тотып калу өчен , халык тарафыннан яхшы мөнәсәбәт кирәк .","Татарстанның мәгариф һәм фән министры Илсур Һадиуллин әйтүенчә , мәктәпләрдә тотып укытучыларны калу өчен , халык тарафыннан яхшы мөнәсәбәт кирәк .",[0]
"Халыкка күрсәтелә торган хезмәтләр сыйфатлы , билгеләнгән таләпләргә җавап бирергә тиеш » , – диде шәһәр башлыгы Наил Мәһдиев .","Халыкка күрсәтелә торган хезмәтләр сыйфатлы , билгеләнгән таләпләргә бирергә җавап тиеш » , – диде шәһәр башлыгы Наил Мәһдиев .",[0]
"« Сез күзәтчелек органы , бары үз вәкаләтләрегезне куллануыгызны үтенәм .","« Сез куллануыгызны күзәтчелек органы , бары үз вәкаләтләрегезне үтенәм .",[0]
"Түбән Кама муниципаль районы Башкарма комитеты җитәкчесе Рамил Муллинның ТР Президентына шәхси мөрәҗәгате нәтиҗәсендә , Түбән Камага бер миллиард сум күләмендә өстәмә акча бүлеп бирү турында карар кабул ителде .","Түбән Кама муниципаль районы Башкарма комитеты җитәкчесе Рамил Муллинның ТР Президентына шәхси мөрәҗәгате нәтиҗәсендә , Түбән Камага бүлеп бирү бер миллиард сум күләмендә өстәмә акча турында карар кабул ителде .",[0]
