sen_str,swapped_sen_str,leaf_rule
"Oremoiŋoβe iepe , nememɨra mojɨrõmo , inõŋatwaβo , orerarõmo , oreʔaŋa pɨsɨrõmo .","Oremoiŋoβe iepe , nememɨra mojɨrõmo , inõŋatwaβo , orerarõmo , pɨsɨrõmo oreʔaŋa .",[0] -> [10]
Ekwãj moʃɨ moʔa janejusana pupe !,Ekwãj moʔa moʃɨ janejusana pupe !,[0] -> [10]
"Mokojõ , Tupã rawsupa , ko taβa pupe sekow , ojepɨsɨrõmo okupa .","Mokojõ , rawsupa Tupã , ko taβa pupe sekow , ojepɨsɨrõmo okupa .",[0] -> [10]
"Peporeawsu korine ; pemoɨrõ paʔi Jesu , ko taβa poβupoβu . perapɨ tataenɨne !","Peporeawsu korine ; pemoɨrõ paʔi Jesu , poβupoβu ko taβa . perapɨ tataenɨne !",[0] -> [10]
"Ojaseʔõereko aβe , paʔi Jesus rekoβejeβɨsawama rese ojemosakojaβo βete","Ojaseʔõereko aβe , ojemosakojaβo paʔi Jesus rekoβejeβɨsawama rese βete",[0] -> [10]
"Apɨaβa rawsupa je , orerapiara pota , oreputupa sese","Apɨaβa rawsupa je , pota orerapiara , oreputupa sese",[0] -> [10]
"jori , neporawsuβara mojaʔoiaʔoka oreβo , orerawsupa , oremoʔeβo , oreʔaŋa resapeβo .","jori , mojaʔoiaʔoka neporawsuβara oreβo , orerawsupa , oremoʔeβo , oreʔaŋa resapeβo .",[0] -> [10]
"Napeapɨsaj , janu , iko taβa apamonana .","Napeapɨsaj , janu , apamonana iko taβa .",[0] -> [10]
"Iaŋajpa ko kenaʔĩ , eʔi moʔema mojaŋa , mosaŋa raʔãraʔaŋa , oawsuβa ojpotarĩ , ojemomorãmoraŋa .","Iaŋajpa ko kenaʔĩ , eʔi moʔema mojaŋa , raʔãraʔaŋa mosaŋa , oawsuβa ojpotarĩ , ojemomorãmoraŋa .",[0] -> [10]
"taso kori , nerejape , apɨaβa pɨsɨka pa","taso kori , nerejape , pɨsɨka apɨaβa pa",[0] -> [10]
"Ojojá , ko janejara βoja , São Lourenço aŋaturama , osarõ jẽ peretama , Ajaŋa reitɨka pa , peẽte , pemopuʔama .","Ojojá , ko janejara βoja , São Lourenço aŋaturama , osarõ jẽ peretama , reitɨka Ajaŋa pa , peẽte , pemopuʔama .",[0] -> [10]
"Omaʔeʔu wemimoʔeeta pɨri karukeme , Santo-Sacramento meʔeŋa janone .","Omaʔeʔu wemimoʔeeta pɨri karukeme , meʔeŋa Santo-Sacramento janone .",[0] -> [10]
"Maratawame tekwara oweroβja ʃejeʔeŋa , opa ʔɨpaʔũmenwara , opa Paraiβɨwara ʃepope oʔaŋa meʔeŋa .","Maratawame tekwara oweroβja ʃejeʔeŋa , opa ʔɨpaʔũmenwara , opa Paraiβɨwara ʃepope meʔeŋa oʔaŋa .",[0] -> [10]
"juatĩ emoapɨja , iakaŋ kutukutuka , sasapa","juatĩ emoapɨja , kutukutuka iakaŋ , sasapa",[0] -> [10]
"Oremoiŋoβe iepe , nememɨra mojɨrõmo , inõŋatwaβo , orerarõmo , oreʔaŋa pɨsɨrõmo .","Oremoiŋoβe iepe , mojɨrõmo nememɨra , inõŋatwaβo , orerarõmo , oreʔaŋa pɨsɨrõmo .",[0] -> [10]
"Osoβasaβ aβare , Tupã mojɨrõŋatuaβo .","Osoβasaβ aβare , mojɨrõŋatuaβo Tupã .",[0] -> [10]
"Oporakakaβ ? Aβa ? Aʔete kawĩ pwajtara apɨaβa sowaβopa , Moruβisamosakara teʔi iseβo , oʔiaβo aŋa .","Oporakakaβ ? Aβa ? Aʔete kawĩ pwajtara sowaβopa apɨaβa , Moruβisamosakara teʔi iseβo , oʔiaβo aŋa .",[0] -> [10]
"Erĩ , awje . ʃemoorɨkatu jepe , inã teko momewaβo .","Erĩ , awje . ʃemoorɨkatu jepe , inã momewaβo teko .",[0] -> [10]
"ʃeputupaβete ʔã witekoβo rese , oreswi jewasema repjaka .","ʃeputupaβete ʔã witekoβo rese , oreswi repjaka jewasema .",[0] -> [10]
"Oso βe amõ marana ri tekoara aʔe mokõj mona retɨmã mopena , serojɨpa","Oso βe amõ marana ri tekoara mopena aʔe mokõj mona retɨmã , serojɨpa",[0] -> [10]
"Aβare owerasoape , nasawsuβi , ijewasemi , tupi supa ʃerekoape .","Aβare owerasoape , nasawsuβi , ijewasemi , supa tupi ʃerekoape .",[0] -> [10]
"Erimã e . Taβa supa , ɨβɨtɨrɨpe ʃesow , janeβoja rerosupa .","Erimã e . supa Taβa , ɨβɨtɨrɨpe ʃesow , janeβoja rerosupa .",[0] -> [10]
"Emokwej mokõj kujã ajmono peʔẽme , moranuβa rerasoβo , tomomβeʔu ke ʃereko eneβe .","Emokwej mokõj kujã ajmono peʔẽme , rerasoβo moranuβa , tomomβeʔu ke ʃereko eneβe .",[0] -> [10]
"Te , ʃeresemõ torɨβa , seko poʃɨ repjakape .","Te , ʃeresemõ torɨβa , repjakape seko poʃɨ .",[0] -> [10]
"Ojmoŋeta βe , osapukaja oasẽŋaturamo , marãnamo pjã ʃepeʔa jepe , ʃeruβɨwe , ojaβo","Ojmoŋeta βe , osapukaja oasẽŋaturamo , ojaβo marãnamo pjã ʃepeʔa jepe , ʃeruβɨwe ,",[0] -> [10]
"Aimire , jaraso muru , tawje , janeroɨpɨra moesãja .","Aimire , jaraso muru , tawje , moesãja janeroɨpɨra .",[0] -> [10]
