sen_str,swapped_sen_str,leaf_rule
tra sate tref vitlaf feitu tuse çerfie çerfe marties,tra sate feitu tref vitlaf tuse çerfie çerfe marties,[0] -> [2]
pust veres treplanes tref sif kumiaf feitu trebe iuvie ukri per fisiu tuta per ikuvina,pust veres treplanes feitu tref sif kumiaf trebe iuvie ukri per fisiu tuta per ikuvina,[0] -> [2]
heri vinu heri puni arviu ustentu,heri vinu heri puni ustentu arviu,[0] -> [2]
pre veres treplanes iuve krapuvi tre buf fetu,pre veres treplanes iuve krapuvi fetu tre buf,[0] -> [2]
vuku kum iuviu pune uvef furfaθ tref vitluf turuf marte huřie fetu puplu per tutas iiuvinas tuta per ikuvina,vuku kum iuviu pune furfaθ uvef tref vitluf turuf marte huřie fetu puplu per tutas iiuvinas tuta per ikuvina,[0] -> [2]
pre veres tesenakes tre buf fetu marte krapuvi fetu ukri pe fisiu tuta per ikuvina,pre veres tesenakes fetu tre buf marte krapuvi fetu ukri pe fisiu tuta per ikuvina,[0] -> [2]
ařfertur pisi pumpe fust erek esunes ku vepurus felsva ařputrati fratru atiieřiu prehubia et nuřpener prever pusti kastruvuf,ařfertur pisi pumpe fust erek esunes ku vepurus ařputrati fratru atiieřiu prehubia felsva et nuřpener prever pusti kastruvuf,[0] -> [2]
pre veres vehiies tref buf kaleřuf fetu vufiune krapuvi ukri per fisiu tuta per ikuvina,pre veres vehiies fetu tref buf kaleřuf vufiune krapuvi ukri per fisiu tuta per ikuvina,[0] -> [2]
pust veres tesenakes tref sif feliuf fetu fise saçi ukri per fisiu tuta per ikuvina,pust veres tesenakes fetu tref sif feliuf fise saçi ukri per fisiu tuta per ikuvina,[0] -> [2]
pust veres vehiies tref hapinaf fetu tefre iuvie ukri per fisiu tuta per ikuvina,pust veres vehiies fetu tref hapinaf tefre iuvie ukri per fisiu tuta per ikuvina,[0] -> [2]
