sen_str,swapped_sen_str,leaf_rule
"Assyriska , Babyloniska a Sumer pěstowachu dalokosahace politiske poćahi k susodnym krajam , kotrež buchu tež zdźěla za prowincy mezopotamiskich jadrowych krajow deklarowane .","Assyriska , Babyloniska a Sumer dalokosahace politiske poćahi k susodnym krajam , kotrež buchu tež zdźěla za prowincy mezopotamiskich jadrowych krajow deklarowane pěstowachu .",[0] -> [1] -> [2] -> [3] -> [7] -> [9]
Jeho fachowcy spjelnjeja wučbne nadawki na uniwersitach a wysokich šulach .,Jeho fachowcy wučbne nadawki na uniwersitach a wysokich šulach spjelnjeja .,[0] -> [1] -> [2] -> [3] -> [7] -> [9]
Substantiwy maja tři genusy na rozdźěl wot romaniskich rěčow .,Substantiwy tři genusy maja na rozdźěl wot romaniskich rěčow .,[0] -> [1] -> [2] -> [3] -> [7] -> [9]
Woda wobsteji z wodźika a kislika w poměrje 2 : 1 .,Woda z wodźika a kislika w poměrje 2 : 1 wobsteji .,[0] -> [1] -> [2] -> [3] -> [7] -> [9]
Rjemjesło a wikowanje nabywaštej dale a bóle wuznam a města buchu dale a bóle zamóžite .,Rjemjesło a wikowanje wuznam nabywaštej dale a bóle a města buchu dale a bóle zamóžite .,[0] -> [1] -> [2] -> [3] -> [7] -> [9]
"Španišćina ma dwaj genusaj a numerusaj , ale nima žadyn pad , ze wuwzaćom pronomenow .","Španišćina dwaj genusaj a numerusaj ma , ale nima žadyn pad , ze wuwzaćom pronomenow .",[0] -> [1] -> [2] -> [3] -> [7] -> [9]
Kralej Aššur - nasir - apli II . ( 883 - 859 př . n . l . . ) a Šulmanu - ašared III . ( 858 - 824 př . n . l . ) rozšěrištaj assyriski mócnarski wobwod hač do Syriskeje .,Kralej Aššur - nasir - apli II . ( 883 - 859 př . n . l . . ) a Šulmanu - ašared III . ( 858 - 824 př . n . l . ) assyriski mócnarski wobwod rozšěrištaj hač do Syriskeje .,[0] -> [1] -> [2] -> [3] -> [7] -> [9]
"Wutrusowa sćěna wobsahuje sporopolenin , sporofyty tworja kutikulu .","Wutrusowa sćěna sporopolenin wobsahuje , sporofyty tworja kutikulu .",[0] -> [1] -> [2] -> [3] -> [7] -> [9]
Organizacija trjebaše za to wulki zarjadniski aparat .,Organizacija wulki zarjadniski aparat trjebaše za to .,[0] -> [1] -> [2] -> [3] -> [7] -> [9]
Wuchodny přibrjóh Andreho Pradeša a Tamil Nadu kaž tež južna Kerala dožiwja mjez oktobrom a decembrom dla sewjerozapadneho monsuna hišće druhi dešćowy čas .,Wuchodny přibrjóh Andreho Pradeša a Tamil Nadu kaž tež južna Kerala druhi dešćowy čas dožiwja mjez oktobrom a decembrom dla sewjerozapadneho monsuna hišće .,[0] -> [1] -> [2] -> [3] -> [7] -> [9]
