sen_str,swapped_sen_str,leaf_rule
Hän abutab udessündutada Kalag' - küläd da paremboita külän eläjiden elod .,Hän abutab Kalag' - küläd udessündutada da paremboita külän eläjiden elod .,[0] -> [2]
"I konz minä pördimoi kodimale , minä el'genzin , miše tägä minä en voi kävutada ičein tedoid , en voi rata nikus .","I konz minä pördimoi kodimale , minä el'genzin , miše tägä minä en voi ičein tedoid kävutada , en voi rata nikus .",[0] -> [2]
"Mö opendam vepsän kel't školas , tegem melentartuižid projektoid , tegem čomid koncertoid da praznikad , kus ristitud voiba johtutada ičeze jurid , panda päle vepsläižid sädoid da pagišta kodikelel .","Mö opendam vepsän kel't školas , tegem melentartuižid projektoid , tegem čomid koncertoid da praznikad , kus ristitud voiba johtutada ičeze jurid , panda päle vepsläižid sädoid da kodikelel pagišta .",[0] -> [2]
"Nügüd' kaikes mirus ristitud napriba tugeta ičeze rahvahid , tahtoiba teta ičeze kanzan istorijad .","Nügüd' kaikes mirus ristitud napriba tugeta ičeze rahvahid , tahtoiba ičeze kanzan istorijad teta .",[0] -> [2]
"Minä tahtoin kut-se vajehtada elod küläs , kaita vepsläšt kul'turad da kel't .","Minä tahtoin kut-se vajehtada elod küläs , vepsläšt kul'turad da kel't kaita .",[0] -> [2]
Hän abutab udessündutada Kalag' - küläd da paremboita külän eläjiden elod .,Hän abutab udessündutada Kalag' - küläd da külän eläjiden elod paremboita .,[0] -> [2]
"Valičusiden edel minä tahtoin el'geta , voin-ik minä tehta midä-se ut da hüväd külän eläjiden täht .","Valičusiden edel minä tahtoin el'geta , voin-ik minä midä-se ut da hüväd tehta külän eläjiden täht .",[0] -> [2]
Se abutab kaita rahvast da noustatada ristituiš rahvahališt ičetundmust .,Se abutab kaita rahvast da rahvahališt ičetundmust noustatada ristituiš .,[0] -> [2]
"Nece rad om tärged , ved' mö voim kirjutada projektoid da tehta äjan vepsläižiden täht .","Nece rad om tärged , ved' mö voim projektoid kirjutada da tehta äjan vepsläižiden täht .",[0] -> [2]
No meile ei pida unohtada ičeze jurid da kodikel't .,No meile ei pida ičeze jurid da kodikel't unohtada .,[0] -> [2]
Se abutab kaita rahvast da noustatada ristituiš rahvahališt ičetundmust .,Se abutab rahvast kaita da noustatada ristituiš rahvahališt ičetundmust .,[0] -> [2]
Hänen elo om omištadud korktale azjale – vedäda ristituid da tehta kaiken heiden hüvüden täht .,Hänen elo om omištadud korktale azjale – vedäda ristituid da kaiken tehta heiden hüvüden täht .,[0] -> [2]
