sen_str,swapped_sen_str,leaf_rule
Mae Heddlu 'r Gogledd wedi cael cais i wneud sylw ar y nifer .,Mae Heddlu 'r Gogledd wedi cais cael i wneud sylw ar y nifer .,[0] -> [1] -> [2]
"Mae 'n amlwg erbyn hyn bod y gyfundrefn addysg cyfrwng Saesneg yn methu sicrhau 'r cyfle i 'n pobl ifanc fod yn siaradwyr Cymraeg rhugl , ac mae sylwadau 'r Prif Arolygydd yn gadarnhad pellach o hyn .","Mae 'n amlwg erbyn hyn bod y gyfundrefn addysg cyfrwng Saesneg yn methu 'r cyfle sicrhau i 'n pobl ifanc fod yn siaradwyr Cymraeg rhugl , ac mae sylwadau 'r Prif Arolygydd yn gadarnhad pellach o hyn .",[0] -> [1] -> [2]
Bu Radio Cymru yn cynnal disgos yn y gwersyll a thrawsnewidiwyd y neuadd ddisgo gyda goleuadau a chyfarpar newydd i roi 'r profiad gorau posib i 'r gwersyllwyr .,Bu Radio Cymru yn cynnal disgos yn y gwersyll a thrawsnewidiwyd y neuadd ddisgo gyda goleuadau a chyfarpar newydd i 'r profiad gorau posib roi i 'r gwersyllwyr .,[0] -> [1] -> [2]
"Yn ogystal â bod yn ddarparwr addysg uwch cyfrwng Cymraeg o bwys , mae 'n wych gweld Prifysgol Bangor yn arwain ar yr holl elfennau atodol hynny – ymchwil , polisi a thechnoleg – sy 'n cyfrannu at gyrraedd nod Llywodraeth Cymru o greu miliwn o siaradwyr Cymraeg erbyn 2050 .","Yn ogystal â bod yn ddarparwr addysg uwch cyfrwng Cymraeg o bwys , mae 'n wych gweld Prifysgol Bangor yn arwain ar yr holl elfennau atodol hynny – ymchwil , polisi a thechnoleg – sy 'n cyfrannu at gyrraedd nod Llywodraeth Cymru o miliwn o siaradwyr Cymraeg greu erbyn 2050 .",[0] -> [1] -> [2]
Fi 'n cydnabod bod llyfrau ar gael ond maen nhw ar dâp neu CD a dw i 'n cydnabod gwaith gwirfoddolwyr ond byddai 'n braf clywed llais actorion go iawn yn lleisio 'r llyfrau fel bof fi 'n gallu cael yr un mwynhad â phobl sy 'n gallu darllen .,Fi 'n cydnabod bod llyfrau ar gael ond maen nhw ar dâp neu CD a dw i 'n cydnabod gwaith gwirfoddolwyr ond byddai 'n braf clywed llais actorion go iawn yn 'r llyfrau fel bof fi 'n gallu cael yr un mwynhad â phobl sy 'n gallu darllen lleisio .,[0] -> [1] -> [2]
"Caewyd y ddau gapel ym mis Mehefin , gan uno 'r aelodaeth a dechrau achos newydd yng Nghapel Coch .","Caewyd y ddau gapel ym mis Mehefin , gan 'r aelodaeth uno a dechrau achos newydd yng Nghapel Coch .",[0] -> [1] -> [2]
"Mae 'n rhoi ymdriniaeth o le a chynefin fel elfen arwyddocaol , ddylanwadol .","Mae 'n ymdriniaeth o le a chynefin rhoi fel elfen arwyddocaol , ddylanwadol .",[0] -> [1] -> [2]
"Ers sefydlu 'r Brifysgol , yr oedd cymdeithas y "" Cymric "" yn weithredol fel cymdeithas Gymraeg y Brifysgol gan gynnal digwyddiadau llenyddol , dadlau a chymdeithasol .","Ers sefydlu 'r Brifysgol , yr oedd cymdeithas y "" Cymric "" yn weithredol fel cymdeithas Gymraeg y Brifysgol gan digwyddiadau llenyddol , dadlau a chymdeithasol gynnal .",[0] -> [1] -> [2]
Mae Dyfodol i 'r Iaith eisoes wedi galw am wariant cyfalaf o £ 200 miliwn i 'w rannu rhwng pum o siroedd Cymru i ddatrys argyfwng tai preswyl ac ail gartrefi .,Mae Dyfodol i 'r Iaith eisoes wedi galw am wariant cyfalaf o £ 200 miliwn i 'w rannu rhwng pum o siroedd Cymru i argyfwng tai preswyl ac ail gartrefi ddatrys .,[0] -> [1] -> [2]
Os am gymdeithasu yn Gymraeg beth am ymuno ag Adran neu Uwch Adran lle gellid wneud amrywiol weithgareddau yn wythnosol !,Os am gymdeithasu yn Gymraeg beth am ymuno ag Adran neu Uwch Adran lle gellid amrywiol weithgareddau wneud yn wythnosol !,[0] -> [1] -> [2]
