sen_str,swapped_sen_str,leaf_rule
"Տարագրութիւն , անապատ , Պոլիս , Փարիզ , — բոլորն ալ ջիղերը գերազանցապէս սրելու ընդունակ մարզեր , բայց միտքը ոչ իսկ փոքր կէտէ մը ճեղքող , բացի Փարիզէն , ուր կը հասնէր շատ ուշ ։","Տարագրութիւն , անապատ , Պոլիս , Փարիզ , — բոլորն ալ գերազանցապէս սրելու ջիղերը ընդունակ մարզեր , բայց միտքը ոչ իսկ փոքր կէտէ մը ճեղքող , բացի Փարիզէն , ուր կը հասնէր շատ ուշ ։",[0] -> [26] -> [27]
Ամեն . Ս . Պատրիարք Հայրը յիշեցուց համայնքային վարժարաններու դէմ յանդիման մնացած հարցերու մասին կատարելի քննարկումներուն ուղղութիւն մը տալու եւ լուծումներ որոնելու առաջադրութեամբ միասնական աշխատանք կատարելու կարեւորութիւնը ։,Ամեն . Ս . Պատրիարք Հայրը յիշեցուց համայնքային վարժարաններու դէմ յանդիման մնացած հարցերու մասին կատարելի քննարկումներուն տալու ուղղութիւն մը եւ լուծումներ որոնելու առաջադրութեամբ միասնական աշխատանք կատարելու կարեւորութիւնը ։,[0] -> [26] -> [27]
"— Պարապ տեղը մի ՛ սպասէք , Զօհրապը գալիք չունի . տղան հետը խօսեցաւ եւ ըսաւ թէ Թորգոմը եկած է ու զինքը տեսնել կ՚ ուզէ եւ խորհուրդ տուաւ որ գրասենեակ չհանդիպի ։","— Պարապ տեղը մի ՛ սպասէք , Զօհրապը գալիք չունի . տղան հետը խօսեցաւ եւ ըսաւ թէ Թորգոմը եկած է ու տեսնել զինքը կ՚ ուզէ եւ խորհուրդ տուաւ որ գրասենեակ չհանդիպի ։",[0] -> [26] -> [27]
"— Եթէ փողոցը զիս ձերբակալել ուզեն ՝ պիտի դիմադրեմ , ու ի հարկին վրանին կրակ պիտի ընեմ ...","— Եթէ փողոցը ձերբակալել զիս ուզեն ՝ պիտի դիմադրեմ , ու ի հարկին վրանին կրակ պիտի ընեմ ...",[0] -> [26] -> [27]
"Սիրելի Վարուժ , ճիշդ չէ ըսել , որ « հայրենիքի հողէն եւ հողին վրայ համախումբ ապրելու իրաւունքէն զրկուած սփիւռքահայութիւնը շեշտակիօրէն կը դրսեւորէ անցեալէն խզուելու , անցեալի արժէքներն ու թերիները անտեսելու վարքագիծ մը » ( Նոյեմբեր 12 , 2021 ) ։","Սիրելի Վարուժ , ճիշդ չէ ըսել , որ « հայրենիքի հողէն եւ համախումբ ապրելու հողին վրայ իրաւունքէն զրկուած սփիւռքահայութիւնը շեշտակիօրէն կը դրսեւորէ անցեալէն խզուելու , անցեալի արժէքներն ու թերիները անտեսելու վարքագիծ մը » ( Նոյեմբեր 12 , 2021 ) ։",[0] -> [26] -> [27]
"Նկատի ունենալով այդ օժանդակութեան կարեւորութիւնը հայկական կողմի կրած պարտութեան մէջ , անպայման որ բանականութիւնը գործածող մարդոց մտքին մէջ հարցականի տակ պիտի առնուէր Թուրքիոյ հետ խօսակցութիւն սկսելու կամ բնականոն յարաբերութիւններ հաստատելու օգտակարութիւնը եւ ( կամ ) նպատակայարմարութիւնը ։","Նկատի ունենալով այդ օժանդակութեան կարեւորութիւնը հայկական կողմի կրած պարտութեան մէջ , անպայման որ բանականութիւնը գործածող մարդոց մտքին մէջ հարցականի տակ պիտի առնուէր Թուրքիոյ հետ սկսելու խօսակցութիւն կամ բնականոն յարաբերութիւններ հաստատելու օգտակարութիւնը եւ ( կամ ) նպատակայարմարութիւնը ։",[0] -> [26] -> [27]
"Պէտք չէր պատրանքներ ունենալ , մարդասիրական օգնութիւն սպասել , կամ ՝ Հայաստանի պետական շահերու պաշտպանութեան գործին մէջ գործընկերական ու դաշնակցային մեծ ակնկալութիւններ ունենալ , երբ նոյնիսկ Հայաստանի քաղաքական դասը ինք չունի երկրին պետական մարմիններուն հանդէպ այդ յարգանքն ու զօրակցութիւնը , երբ օտար ուժերու կողմէ Հայաստանի պարտադրուած պարտութիւնը կը դիտուի բացարձակապէս իշխանութիւնը հարուածելու եւ տապալելու առիթ ։","Պէտք չէր պատրանքներ ունենալ , մարդասիրական օգնութիւն սպասել , կամ ՝ Հայաստանի պետական շահերու պաշտպանութեան գործին մէջ գործընկերական ու դաշնակցային մեծ ակնկալութիւններ ունենալ , երբ նոյնիսկ Հայաստանի քաղաքական դասը ինք չունի երկրին պետական մարմիններուն հանդէպ այդ յարգանքն ու զօրակցութիւնը , երբ օտար ուժերու կողմէ Հայաստանի պարտադրուած պարտութիւնը կը դիտուի բացարձակապէս հարուածելու իշխանութիւնը եւ տապալելու առիթ ։",[0] -> [26] -> [27]
"Նոր բառապաշար կ՚ ամբարեն , արեւմտահայերէն կը սորվին կամ իրենց ունեցած գիտութիւնը կը բարելաւեն , եւ ամենէն կարեւորը ՝ Սփիւռքի մէջ իրենց առօրեայ կեանքին մաս կազմող լեզուով նոր ու հետաքրքրական աշխարհ մը կը բացայայտեն ։","Նոր բառապաշար կ՚ ամբարեն , արեւմտահայերէն կը սորվին կամ իրենց ունեցած գիտութիւնը կը բարելաւեն , եւ ամենէն կարեւորը ՝ Սփիւռքի մէջ մաս կազմող իրենց առօրեայ կեանքին լեզուով նոր ու հետաքրքրական աշխարհ մը կը բացայայտեն ։",[0] -> [26] -> [27]
Հանգուցեալի հարազատները ամբողջ ընտանիքը եւ համայնքային շրջանակներէն իր յիշատակը յարգող սիրելիներ հերթական անգամ համախմբուեցան անոր բարոյական ներկայութեան շուրջ եւ իրենց խոնարհումը բերին իր ազնիւ յիշատակին առջեւ ։,Հանգուցեալի հարազատները ամբողջ ընտանիքը եւ համայնքային շրջանակներէն յարգող իր յիշատակը սիրելիներ հերթական անգամ համախմբուեցան անոր բարոյական ներկայութեան շուրջ եւ իրենց խոնարհումը բերին իր ազնիւ յիշատակին առջեւ ։,[0] -> [26] -> [27]
Անոնցմէ մէկն էր Թուրքիոյ Ազրպէյճանին տրամադրած բազմատեսակ ռազմական օժանդակութիւնը ։,Անոնցմէ մէկն էր Թուրքիոյ տրամադրած Ազրպէյճանին բազմատեսակ ռազմական օժանդակութիւնը ։,[0] -> [26] -> [27]
