sen_str,swapped_sen_str,leaf_rule
"Mostlah ica mic paquilistli , in tlalticpactlacameh quicuah mic tlaxcal .","Mostlah ica mic paquilistli , in tlalticpactlacameh mic tlaxcal quicuah .",[0] -> [1] -> [2]
"Ma ttemotin totlaoltzin , porke ok siki ya moniki .","Ma totlaoltzin ttemotin , porke ok siki ya moniki .",[0] -> [1] -> [2]
Nej onmokwip inkitztiw wan onkajsito in kowatl .,Nej onmokwip inkitztiw wan in kowatl onkajsito .,[0] -> [1] -> [2]
Achtoh o ccahcalaquito in cacalotl .,Achtoh o in cacalotl ccahcalaquito .,[0] -> [1] -> [2]
Axan nican ticpixtoque in itzcuintli yeh cimi tictlazohtlah notlahuical huan neh timachiliah xa toconeuh .,Axan nican in itzcuintli ticpixtoque yeh cimi tictlazohtlah notlahuical huan neh timachiliah xa toconeuh .,[0] -> [1] -> [2]
O yah o patlantah o ctemoto atl .,O yah o patlantah o atl ctemoto .,[0] -> [1] -> [2]
O cahsito se miston uan o ctlahtlanih : - ¿ Xamo ye n touatzin tonnomaman ?,O se miston cahsito uan o ctlahtlanih : - ¿ Xamo ye n touatzin tonnomaman ?,[0] -> [1] -> [2]
Iktitikij in powitl ken yejwan ikkuiskej .,in powitl ken yejwan ikkuiskej Iktitikij .,[0] -> [1] -> [2]
Moniki sekpachos in tixtli .,Moniki in tixtli sekpachos .,[0] -> [1] -> [2]
Satepan o cahsito se itzcuintli uan o ctlahtlanih : - ¿ Xamo touatzin tonnomaman ?,Satepan o se itzcuintli cahsito uan o ctlahtlanih : - ¿ Xamo touatzin tonnomaman ?,[0] -> [1] -> [2]
"Huehca y o yaya , ihcuac o chualitac ce tapalcatihuilotl ica atl .","Huehca y o ce tapalcatihuilotl ica atl yaya , ihcuac o chualitac .",[0] -> [1] -> [2]
¿ Xanki nakyolwia namejwan noiwki wilis nakcholowiliskeh in tlatzakwil tlen walajtok ?,¿ Xanki nakyolwia namejwan noiwki wilis in tlatzakwil tlen walajtok nakcholowiliskeh ?,[0] -> [1] -> [2]
Itich in ohtli o cahuatayah in lechon .,Itich in ohtli o in lechon cahuatayah .,[0] -> [1] -> [2]
"Yeh o quihtoh , “ Chuhue mo cequitta ce itzcuintli , zan mo cequitta amo cechualicaz . ”","Yeh o quihtoh , “ Chuhue mo ce itzcuintli cequitta , zan mo cequitta amo cechualicaz . ”",[0] -> [1] -> [2]
Tla nechtlaokoliskej se notzkwin amati tlenoj inchiwas ijkwak amo nikan niski .,Tla se notzkwin nechtlaokoliskej amati tlenoj inchiwas ijkwak amo nikan niski .,[0] -> [1] -> [2]
Wan y o kimiilpihkeh non ichtikeh .,Wan y o non ichtikeh kimiilpihkeh .,[0] -> [1] -> [2]
"Non tonal , ihcuac ya tiotlac , o ctiquitih n ixuiu ompa ma quilpih in itzcuitli .","Non tonal , ihcuac ya tiotlac , o ctiquitih n ixuiu ompa ma in itzcuitli quilpih .",[0] -> [1] -> [2]
"Ompa n o ehkokeh , ompa n o mosewihkeh , o kisewihkeh n totahtsih San Juan .","Ompa n o ehkokeh , ompa n o mosewihkeh , o n totahtsih San Juan kisewihkeh .",[0] -> [1] -> [2]
Satepan o yah o ccahcalaquito in caxtil .,Satepan o yah o in caxtil ccahcalaquito .,[0] -> [1] -> [2]
N tikiwah n tetiachkah o kintitlah naweh telpochmeh tlen kipalewiyah n tetiachkah .,N tikiwah n tetiachkah o kintitlah naweh telpochmeh tlen n tetiachkah kipalewiyah .,[0] -> [1] -> [2]
Nochi ceraokwilimeh kikuiah n itskwintli .,Nochi ceraokwilimeh n itskwintli kikuiah .,[0] -> [1] -> [2]
"O ntlatijtiwij kaltenko , o walkis se tlakatl werojtik .","O kaltenko ntlatijtiwij , o walkis se tlakatl werojtik .",[0] -> [1] -> [2]
O ajsik kampa kaltichowaj nakatl .,O ajsik kampa nakatl kaltichowaj .,[0] -> [1] -> [2]
"Tlanah o quintlatiquitaya amo o cniquiah itlah icchiuasque , uan amo o ctlaocolitayah ninmaman .","Tlanah o quintlatiquitaya amo o cniquiah itlah icchiuasque , uan amo o ninmaman ctlaocolitayah .",[0] -> [1] -> [2]
Iktato in tlakatl akin n iaxka nakatl .,in tlakatl akin n iaxka nakatl Iktato .,[0] -> [1] -> [2]
Yalwa nikniw wan isiwaw o kpixkej se inkonew .,Yalwa nikniw wan isiwaw o se inkonew kpixkej .,[0] -> [1] -> [2]
Yejwan motikitiltiaj para ikuejkapantlaliskej nimaltipew .,Yejwan motikitiltiaj para nimaltipew ikuejkapantlaliskej .,[0] -> [1] -> [2]
Nicanca tlaltitl o cuicac canic icchayotihtoc in atl .,Nicanca tlaltitl o cuicac canic in atl icchayotihtoc .,[0] -> [1] -> [2]
"Wan kampa tlaxoxotlalten in xiwmej mokawa in okotzotl , mokawa tliltik kampa tlaxoxotlal .","Wan kampa in xiwmej tlaxoxotlalten mokawa in okotzotl , mokawa tliltik kampa tlaxoxotlal .",[0] -> [1] -> [2]
Satepan o cahsito se cuapoueh uan o ctlahtlanih : - ¿ Xamo touatzin tonnomaman ?,Satepan o se cuapoueh cahsito uan o ctlahtlanih : - ¿ Xamo touatzin tonnomaman ?,[0] -> [1] -> [2]
Acmo tipiyah tomen .,Acmo tomen tipiyah .,[0] -> [1] -> [2]
Satepan o ccahcalaquito in itzcuincoyotl .,Satepan o in itzcuincoyotl ccahcalaquito .,[0] -> [1] -> [2]
Satepan o cahsito se axno uan o ctlahtlanih : - ¿ Xamo touatzin tonnomaman ?,Satepan o se axno cahsito uan o ctlahtlanih : - ¿ Xamo touatzin tonnomaman ?,[0] -> [1] -> [2]
