sen_str,swapped_sen_str,leaf_rule
"Garab la itam gu nga xam gu yomb ay mbir la , ndax daanaka lajul ndox , fépp la mën a sax .","Garab la itam gu nga xam gu ay mbir yomb la , ndax daanaka lajul ndox , fépp la mën a sax .",[0] -> [1] -> [2]
Defar tëriin ci sunu ay làkk .,tëriin Defar ci sunu ay làkk .,[0] -> [1] -> [2]
"Tóol boobu nag lañu xëyy , di leen sàkku fu ngeen mënti nekk ngeen jàppale nu , siiwal béréb bi , yonnee seen xalaat ci mbir yi nu fi soxal nun ñépp .","Tóol boobu nag lañu xëyy , di leen sàkku fu ngeen mënti nekk ngeen jàppale nu , siiwal béréb bi , seen xalaat ci mbir yi nu fi soxal nun ñépp yonnee .",[0] -> [1] -> [2]
Mu di jaamu Yàlla ci topp boroom kërëm ak dabu ag càkkutéefam .,Mu di jaamu Yàlla ci boroom kërëm topp ak dabu ag càkkutéefam .,[0] -> [1] -> [2]
"Lu ñu gën di jëfandikoo làkku Faraas ci àdduna bi rekk ( lu tollu ak ñaari téeméeri milyoŋ ci doomi aadama ) gën di yokk ay liggéey ca Faras , ndax ñoom ñu a di soppi film yooyu di ko jaayaat yeneen téeméer ak ñeen-fukki milyoŋi doomi aadama yi nekk ci yeneen réew te di jëfandikoo làkku Faraas te nun nu a ngi ci biir .","Lu ñu gën di jëfandikoo làkku Faraas ci àdduna bi rekk ( lu tollu ak ñaari téeméeri milyoŋ ci doomi aadama ) gën di yokk ay liggéey ca Faras , ndax ñoom ñu a di soppi film yooyu di ko jaayaat yeneen téeméer ak ñeen-fukki milyoŋi doomi aadama yi nekk ci yeneen réew te di làkku Faraas jëfandikoo te nun nu a ngi ci biir .",[0] -> [1] -> [2]
Yokk jëf yi nga xam ne kenn nàttablewul seen njariñ ci xeex sibbiru,Yokk jëf yi nga xam ne kenn seen njariñ ci xeex sibbiru nàttablewul,[0] -> [1] -> [2]
"Loolu masul a deñ ba ci fukkeelu xarnu ak ñeent , mu a tollu ak falug waa Tonjon .","Loolu masul a deñ ba ci fukkeelu xarnu ak ñeent , mu a ak falug waa Tonjon tollu .",[0] -> [1] -> [2]
"Soxna si ci ag maandoom , bi Sëriñ bi di gone daan na def ay xarbaax mu ko di yëg di ko gis , waaye Sëriñ bi da mu sàkku ci moom ngir mu bañ ko a yegge baayam walla mbooloo mi .","Soxna si ci ag maandoom , bi Sëriñ bi di gone daan na def ay xarbaax mu ko di yëg di ko gis , waaye Sëriñ bi da mu sàkku ci moom ngir mu bañ ko a baayam walla mbooloo mi yegge .",[0] -> [1] -> [2]
Xamoon nañu mbayum wëtteen .,mbayum wëtteen Xamoon nañu .,[0] -> [1] -> [2]
"Naka noonu , fekkoon na it mu amoon kàttan ci jiite yëngu-yëngu gi jógoon ngir bennal Almaañ .","Naka noonu , fekkoon na it mu kàttan amoon ci jiite yëngu-yëngu gi jógoon ngir bennal Almaañ .",[0] -> [1] -> [2]
"Ñu fal buur bu ñu tudde Xulixuli , di fàtteliku bi NJAAJAAN NJAAY ( ku jëkk a nekk Buur-ba Jolof ) nekkoon biir dex gi , ca Waalo .","Ñu fal buur bu ñu tudde Xulixuli , di fàtteliku bi NJAAJAAN NJAAY ( ku jëkk a Buur-ba nekk Jolof ) nekkoon biir dex gi , ca Waalo .",[0] -> [1] -> [2]
"Yii nguur nag ci ron waawug Jolof gu mag gi lañu nekkoon , ba kero ñu di nanguwaat seenug temb ci xarnub fukk ak juróom benn g.j .","Yii nguur nag ci ron waawug Jolof gu mag gi lañu nekkoon , ba kero ñu di seenug temb nanguwaat ci xarnub fukk ak juróom benn g.j .",[0] -> [1] -> [2]
