sen_str,swapped_sen_str,leaf_rule
"Ó wọ inú ilé lọ , Ó sì bá àwọn ènìyàn sọ̀rọ̀ , ó béèrè pé , “ Èéṣe tí ẹ̀yin fi ń sọkún tí ẹ sì ń pohunréré ẹkún ? Ọmọbìnrin náà kò kú , ó sùn lásán ni . ”","Ó wọ inú ilé lọ , Ó sì bá àwọn ènìyàn sọ̀rọ̀ , ó béèrè pé , “ Èéṣe tí ẹ̀yin fi ń sọkún tí ẹ sì ń ẹkún pohunréré ? Ọmọbìnrin náà kò kú , ó sùn lásán ni . ”",[0] -> [16]
Ọlọ́run sì pe ilẹ̀ gbígbẹ náà ní “ Ilẹ̀ ” àti àpapọ̀ omi ní “ Òkun : ” Ọlórun sì rí i wí pé ó dára .,Ọlọ́run sì pe ilẹ̀ gbígbẹ náà ní “ Ilẹ̀ ” àti àpapọ̀ omi ní “ Òkun : ” Ọlórun sì i wí pé ó dára rí .,[0] -> [16]
"Nígbà tí ó sì gburo iṣẹ́ ìyanu tí Jésù ṣe , ìdí ni èyí tí ó fi wá sẹ́yìn rẹ̀ , láàrin ọ̀pọ̀ ènìyàn , ó sì fi ọwọ́ kan aṣọ rẹ̀ .","Nígbà tí ó sì ìdí ni èyí tí ó fi wá sẹ́yìn rẹ̀ , láàrin ọ̀pọ̀ ènìyàn , ó sì fi ọwọ́ kan aṣọ rẹ̀ gburo iṣẹ́ ìyanu tí Jésù ṣe , .",[0] -> [16]
"Nígbà náà ni Jésù tún kérora nínú ara rẹ̀ , ó wá sí ibojì , ó sì jẹ́ ihò , a sì gbé òkúta lé ẹnu rẹ̀ .","Nígbà náà ni Jésù tún kérora nínú ara rẹ̀ , ó wá sí ibojì , ó sì jẹ́ ihò , a sì òkúta gbé lé ẹnu rẹ̀ .",[0] -> [16]
"“ Bá ọ̀tá rẹ làjà kánkán , ẹni tí ó ń gbé ọ lọ sí ilé ẹjọ́ . Ṣe é nígbà ti ó wà ní ọ̀nà pẹ̀lú rẹ , bí bẹ́ẹ̀ kọ́ yóò fà ọ́ lé onídajọ ní ọwọ́ , onídájọ́ yóò sí fá ọ lé àwọn ẹ̀sọ́ ní ọwọ́ , wọ́n a sì sọ ọ́ sínú túbú .","“ Bá ọ̀tá rẹ làjà kánkán , ẹni tí ó ń gbé ọ lọ sí ilé ẹjọ́ . Ṣe é nígbà ti ó wà ní ọ̀nà pẹ̀lú rẹ , bí bẹ́ẹ̀ kọ́ yóò fà ọ́ lé onídajọ ní ọwọ́ , onídájọ́ yóò sí fá ọ lé àwọn ẹ̀sọ́ ní ọwọ́ , wọ́n a sì ọ́ sọ sínú túbú .",[0] -> [16]
"Ọ̀kan nínú àwọn olórí sínágọ́gù tí à ń pè ni Jáírù wá sọ́dọ̀ Jésù , nígbà tí ó sì rí i , ó wólẹ̀ níwájú rẹ̀ .","Ọ̀kan nínú àwọn olórí sínágọ́gù tí à ń pè ni Jáírù wá sọ́dọ̀ Jésù , nígbà tí ó sì i rí , ó wólẹ̀ níwájú rẹ̀ .",[0] -> [16]
"Lẹ́sẹ̀kan - náà , ọmọbìnrin náà sì dìde . Ó sì ń rìn , ẹ̀rù sì ba wọn , ẹnú sì ya àwọn òbí rẹ̀ gidigidi .","Lẹ́sẹ̀kan - náà , ọmọbìnrin náà sì dìde . Ó sì ń àwọn òbí rẹ̀ rìn , ẹ̀rù sì ba wọn , ẹnú sì ya gidigidi .",[0] -> [16]
"Ṣùgbọ́n alágbàṣe , tí kìí ṣe olùṣọ́ àgùntàn , ẹni tí àwọn àgùntàn kìí ṣe tirẹ̀ , ó rí ìkokò ń bọ̀ , ó sì fi àgùntàn sílẹ̀ , ó sì fọ́n wọn ká kiri .","Ṣùgbọ́n alágbàṣe , tí kìí ṣe olùṣọ́ àgùntàn , ẹni tí àwọn àgùntàn kìí ṣe tirẹ̀ , ó rí ìkokò ń bọ̀ , ó sì àgùntàn fi sílẹ̀ , ó sì fọ́n wọn ká kiri .",[0] -> [16]
"Bí ọwọ́ rẹ ọ̀tún bá mú ọ dẹ́ṣẹ̀ gé e kúrò , kí ó sì sọ ọ́ nù . Ó sàn kí ẹ̀ya ara rẹ kan ṣègbé ju kí gbogbo ara rẹ lọ sínú iná ọ̀run àpáàdì .","Bí ọwọ́ rẹ ọ̀tún bá mú ọ dẹ́ṣẹ̀ gé e kúrò , kí ó sì ọ́ sọ nù . Ó sàn kí ẹ̀ya ara rẹ kan ṣègbé ju kí gbogbo ara rẹ lọ sínú iná ọ̀run àpáàdì .",[0] -> [16]
"Jésù sì bi í léèrè pé , “ Kí ni orúkọ rẹ ? ” Ẹ̀mí àìmọ́ náà sì dáhùn wí pé , “ Líjíọ́nì , nítorí àwa pọ̀ . ”","Jésù sì í bi léèrè pé , “ Kí ni orúkọ rẹ ? ” Ẹ̀mí àìmọ́ náà sì dáhùn wí pé , “ Líjíọ́nì , nítorí àwa pọ̀ . ”",[0] -> [16]
