sen_str,swapped_sen_str,leaf_rule
dòːmín ka kíːr ngárankês kóréy //,dòːmín ka ngárankês kóréy kíːr //,[0] -> [2] -> [3]
tôː yâːn tə́ ʧim mur ɣə́ də̀nès ɗi ɗan tə yi nə sə́ŋwaːrí < tôː mán wul =ɣə vìː ɣəndá àː nda gìp də̀n //,tôː yâːn tə́ ʧim mur ɣə́ də̀nès ɗi ɗan tə yi nə sə́ŋwaːrí < tôː mán vìː wul =ɣə ɣəndá àː nda gìp də̀n //,[0] -> [2] -> [3]
yǎː yêl zǎːr ʒèlì àː < tu ʧàː súː =tə yélɣə́nì òː //,yǎː yêl zǎːr ʒèlì àː < tu ʧàː =tə yélɣə́nì súː òː //,[0] -> [2] -> [3]
áyí wùl tu kóː yáː *vòt-íː =tə |c yáː kât =tə < yáː ɬǐː máː < wò su =tə́ ɗi bàː yâːn àː náːt =tə didididi tə́ ɬə́rəŋ hŋ́ //,áyí wùl tu kóː yáː =tə *vòt-íː |c yáː kât =tə < yáː ɬǐː máː < wò su =tə́ ɗi bàː yâːn àː náːt =tə didididi tə́ ɬə́rəŋ hŋ́ //,[0] -> [2] -> [3]
àmáː < yâːn mə yír ŋǎː gə̀t ɗan wò tuːr náɣɗi hŋ́ < myáːni ɣən >+ ma ɬə́ tuːr ngə́tn =âtn əndá mə́ ʧî //,àmáː < yâːn mə yír ŋǎː gə̀t ɗan wò tuːr náɣɗi hŋ́ < myáːni ɣən >+ ma ɬə́ ngə́tn =âtn tuːr əndá mə́ ʧî //,[0] -> [2] -> [3]
tòː < ndzuːn âː ɗu =mí gòpm gáy ɣənín gən //,tòː < ndzuːn âː =mí ɗu gòpm gáy ɣənín gən //,[0] -> [2] -> [3]
tôː àmá ʧǎː *wûl-íː vìː kə́ wâːrês < tə́ yeli =wôs < ka ʃiʃí //,tôː àmá ʧǎː vìː kə́ wâːrês *wûl-íː < tə́ yeli =wôs < ka ʃiʃí //,[0] -> [2] -> [3]
àmá yâːn tàː tut lə̂p hŋ́ < kóːnúː yáː mân tôː wò gəm riːŋ //,àmá yâːn tàː lə̂p tut hŋ́ < kóːnúː yáː mân tôː wò gəm riːŋ //,[0] -> [2] -> [3]
tôː < ʧík kən >+ *pə́prîn-íː =wôs tə́ *hàkuríwôʃíː =wôs á dàp naː =tə mə́n //,tôː < ʧík kən >+ *pə́prîn-íː =wôs tə́ *hàkuríwôʃíː =wôs á dàp =tə naː mə́n //,[0] -> [2] -> [3]
kàmán yàːʃí mə́n Maláːri máː < lə̌pm Zaːr máː < tá tûːr gyáː ɗûː //= tá tûːr gyáː náɣat //,kàmán yàːʃí mə́n Maláːri máː < lə̌pm Zaːr máː < tá tûːr gyáː ɗûː //= tá gyáː náɣat tûːr //,[0] -> [2] -> [3]
tá fî bə̀ki ɗan kàmán lə̌pm Zaːr //,tá bə̀ki fî ɗan kàmán lə̌pm Zaːr //,[0] -> [2] -> [3]
àmáː < tòː á kámàːtá dzàŋ làːdì mə̀ tù lə̂p ɬə̀ɣə̀níː //,àmáː < tòː á kámàːtá dzàŋ làːdì mə̀ lə̂p ɬə̀ɣə̀níː tù //,[0] -> [2] -> [3]
məːrí =wópm àː < myǎː ʃîn =ʃí =ni //,məːrí =wópm àː < myǎː =ʃí ʃîn =ni //,[0] -> [2] -> [3]
kóː yáː lǎːp longa máː < wò tu =tə hŋ́ //,kóː yáː longa lǎːp máː < wò tu =tə hŋ́ //,[0] -> [2] -> [3]
wéy < mə yé ŋaː ɲíː wón |a ŋǎː ŋaː makaranta oː =ɗi oː //,wéy < mə ŋaː ɲíː wón |a ŋǎː ŋaː makaranta yé oː =ɗi oː //,[0] -> [2] -> [3]
